event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,5.214154674891343,0.3438040172888004,0.2025263678331063,0.6786065314293004,11138
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,5.409529288731833,0.19250789079328173,0.5410221415015373,0.3220030671610766,159868
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,5.328492981214437,0.12710269657486029,0.5529961061247421,0.17495432692677182,131644
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,5.364628532205924,0.29180312063017494,0.5557748774800608,0.2500336558402938,20708
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,5.425450567129891,0.06033934992246043,0.8196961039661683,0.16038047497647281,128000
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,5.5525671327902035,0.1965315153435404,0.5938847475179512,0.4732333447100953,161299
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,5.38788212689434,0.10183040566340805,0.788229979200165,0.09894552354365635,162922
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,5.438598733522607,0.1267763127549441,0.6284344867059827,0.31529414433187875,42168
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,5.329430080147436,0.11119750753778417,0.7372513835144401,-0.0035479575248177977,144722
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,5.402769528073127,0.22255653105379855,0.5936068973022217,0.27254811818238117,107199
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,5.381276025526002,0.11036631473639293,0.7857839474365826,0.08388061542987382,38894
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,5.223878674511665,0.22292383700058338,0.5331687813535213,-0.0389445216330843,79206
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,5.3060048848140475,0.21985821537277367,0.6499429640593373,0.0014697325256841718,148527
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,5.376225810794587,0.04942744538071577,0.7641555489594354,0.07393591895145883,104558
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,5.298390175841773,0.13215002639026222,0.6811666459298411,-0.04251071694946061,166116
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,5.397853169715987,0.2583132341030451,0.5618333893306163,0.3041146210327779,153538
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_cosmo.h5,5.405082890108607,0.2554653965600971,0.5443774491152321,0.3065145992678746,32655
IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,5.302238977197967,0.10102489118328291,0.7620044441381745,-0.08495569226994039,160160
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,5.341330471589688,0.06695215861993399,0.7279280203354657,0.019640965470114416,94772
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,5.34050790372214,0.045957476080458665,0.8454487451593233,-0.054736291713762875,199766
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,5.310662706211478,0.061789971852124724,0.7239041642517601,-0.06341295556195868,367463
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,5.321630966278837,0.07485873644752702,0.7382981343075598,-0.03010686461903213,53971
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,5.282646024436159,0.1449185572427237,0.7175400381213262,-0.09108329365045909,15629
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,5.310717908773,0.08523945259986623,0.7075768818306573,-0.039112646384383706,169007
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,5.449306034310997,0.16697882318473983,0.7382990402332995,0.29754143802954164,155608
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,5.2065793311851545,0.2731401752052675,0.5871440654473903,-0.13978697648722976,24545
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,5.310920805044002,0.06005144787825369,0.7253237288470735,-0.06406297653513984,203490
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,5.3453182746634536,0.2626747324497971,0.5569359756209291,0.19233217464314517,13058
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,5.204039747084921,0.22348617166530402,0.4984535658589574,-0.0202454014799564,20327
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,5.33762530231039,0.06602323145922666,0.7983673777962509,-0.034653531838175544,160046
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,5.299924163070738,0.12757361192851668,0.7386151074374357,-0.06761960421564514,123633
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,5.363484826580074,0.08655175759509635,0.7072137689194805,0.08327234184498099,177783
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,5.346735761941002,0.06875871640606067,0.7820509681380078,-0.011237937430067723,54830
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,5.367671565269989,0.2167540546190515,0.5150928975525197,0.2845190103074524,23977
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,5.310394050464378,0.09766018246499598,0.7822758914151199,-0.08394771863834047,147856
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,5.265112828103542,0.16393768445183712,0.4755278677691321,0.13455098063191917,48052
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,5.364111463364323,0.09103020373191449,0.7412828359940976,0.0811281168912079,87963
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,5.453265950515937,0.12436801201495261,0.6287303919507382,0.33664829093129056,150207
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,5.144320663476887,0.21870396083715948,0.4378090801246012,-0.02031734524865122,153782
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,5.23571017452051,0.10887822231573857,0.5124824981098712,0.027948270660941237,74777
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,5.341876702525446,0.06638219512796244,0.7310129633572282,0.01850699755474256,51021
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5,4.1888705771351535,0.04003624564897757,0.11119062677285828,0.003716476633122842,78254
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,5.361438490431118,0.08798262161219503,0.7063551925956297,0.07947449001410693,89622
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,5.351193795029674,0.08812693440143189,0.7135809063171334,0.04339240253975085,219080
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,5.332508511837061,0.08148683866376925,0.7714022849851221,-0.029704668074763702,144305
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_cosmo.h5,5.348356792828521,0.17157935054128703,0.6274376165962088,0.14723373002209073,80472
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,5.367324377727235,0.16595307570956494,0.6547701747318884,0.15214125308776433,155451
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,5.283783641659316,0.20878886531064828,0.5379654923737036,0.11098857196223635,68167
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,4.660246899556984,0.2128789559527276,0.21014466887151373,-0.07452582970449445,20000
