event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,5.386098800924522,0.09111483314438222,0.7872270252428991,0.09150033079362173,150506
IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,5.325696942671542,0.09347841687943066,0.7752492744623121,-0.039855617292680015,135537
IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_cosmo.h5,5.201928690148406,0.1637012422749677,0.48961178600902533,-0.00115036843692043,39475
IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_cosmo.h5,4.806481078409371,0.3606138440615602,0.22295681288423103,-0.015624781478173196,20000
IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_cosmo.h5,5.185513599143615,0.5331461998080517,0.3491097862650977,0.12700126683399068,3341
IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,5.3246991338842555,0.14213873675107117,0.5807990650869577,0.1173312704781439,315108
IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,4.227850918348856,0.15017092261331874,0.11488125405735927,0.03108275089765124,141688
IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,4.632106188164313,0.8828956267435245,0.1857528844239082,0.03725079489529888,137340
IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,5.420995794049167,0.2643705642859035,0.5589420296429432,0.35688043178837053,116436
IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,5.305105039458706,0.10358794489419693,0.7344931809731119,-0.0646557310211916,104414
IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,5.363395738105124,0.06569300430204077,0.7593557051548604,0.04813580846684654,157304
IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,5.348593930346212,0.22305994625183312,0.6540784399931815,0.1254665327086967,145692
IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,5.293466592270017,0.17645012097158067,0.5225109043265138,0.14885278436770216,134403
IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,5.384856438871403,0.10560666017156618,0.7166476979437262,0.1095599795326123,148072
IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_cosmo.h5,5.3980700367853895,0.0763522740917454,0.8028703513359692,0.10010209790958197,88200
IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,5.170860481573458,0.5318559287446623,0.39256656139128693,0.0576023479538104,132606
IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,5.285796656886017,0.09283145245585617,0.7333247759818688,-0.12708789772508544,195767
IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_cosmo.h5,5.339589352470185,0.14171184582133398,0.7245581964357292,0.03725515170864333,41745
IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,4.642285897630007,0.32157301645426095,0.1993337187275138,0.010054728839235515,129899
IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,5.386863334715986,0.06349368763704062,0.6579451927648419,0.15940818739594875,206292
IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_cosmo.h5,5.332829703850165,0.23487710029562706,0.7213973577678866,0.03725550116029249,7327
IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,5.394537059543037,0.13018962099117576,0.6454163136193364,0.21747345828098713,167837
IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_cosmo.h5,5.387231310688052,0.0631958075650178,0.659296853769975,0.15915860656234787,128624
