targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39089837390722311,DESI-COSMOS-v2.0,148.806140,2.184145,1.534044,0.000122,GALAXY,,,4547.13
39089837390722321,DESI-COSMOS-v2.0,148.848069,2.220118,0.407714,0.000043,GALAXY,,,1620.91
39089837390692626,DESI-COSMOS-v2.0,148.740078,2.235833,0.338816,0.000078,GALAXY,,,1371.24
39089837390692622,DESI-COSMOS-v2.0,148.725056,2.265660,0.335855,0.000056,GALAXY,,,1360.16
39627835538670437,DESI-COSMOS-v2.0,148.546063,2.085051,0.000869,0.000001,STAR,,,4.39
39089837390700941,DESI-COSMOS-v2.0,148.619962,2.077710,1.509608,0.000155,GALAXY,,,4502.10
39089837390692573,DESI-COSMOS-v2.0,148.680515,2.108338,0.007136,0.000041,GALAXY,,,30.70
39089837390692569,DESI-COSMOS-v2.0,148.662904,2.077382,0.007993,0.000020,GALAXY,,,35.08
39089837394965980,DESI-COSMOS-v2.0,148.736940,2.213063,0.343173,0.000009,GALAXY,,,1385.98
39089837394965885,DESI-COSMOS-v2.0,148.701562,2.193215,0.666512,0.000281,GALAXY,,,2473.21
39089837394966028,DESI-COSMOS-v2.0,148.749898,2.258009,0.568553,0.000141,GALAXY,,,2165.98
39089837394958302,DESI-COSMOS-v2.0,148.755596,2.166893,0.661786,0.000150,GALAXY,,,2457.97
39089837394958531,DESI-COSMOS-v2.0,148.819623,2.198830,0.427535,0.000060,GALAXY,,,1691.45
39089837394958295,DESI-COSMOS-v2.0,148.753207,2.143786,0.744566,0.000084,GALAXY,,,2705.23
39089837394965809,DESI-COSMOS-v2.0,148.680012,2.172860,0.954759,0.000072,GALAXY,,,3279.05
39089837394965841,DESI-COSMOS-v2.0,148.687535,2.243069,0.213674,0.000063,GALAXY,,,893.58
39089837394965759,DESI-COSMOS-v2.0,148.664425,2.221820,0.427129,0.000095,GALAXY,,,1687.94
39089837394965613,DESI-COSMOS-v2.0,148.616587,2.187299,0.353439,0.000010,GALAXY,,,1422.70
39089837394958296,DESI-COSMOS-v2.0,148.753214,2.240155,0.566193,0.000117,GALAXY,,,2156.29
39089837394965718,DESI-COSMOS-v2.0,148.648971,2.169106,0.006075,0.000003,GALAXY,,,26.32
39089837394958091,DESI-COSMOS-v2.0,148.686918,2.084827,0.375281,0.000015,GALAXY,,,1502.73
39089837394965781,DESI-COSMOS-v2.0,148.672492,2.259640,0.332815,0.000005,GALAXY,,,1349.06
39089837394965818,DESI-COSMOS-v2.0,148.681326,2.143135,0.374450,0.000005,GALAXY,,,1499.12
39089837394958583,DESI-COSMOS-v2.0,148.837318,2.254240,0.239262,0.000081,GALAXY,,,991.75
39089837394957737,DESI-COSMOS-v2.0,148.573632,2.091344,0.448416,0.000070,GALAXY,,,1761.17
39089837394957860,DESI-COSMOS-v2.0,148.617108,2.033583,0.485860,0.000114,GALAXY,,,1891.42
39089837394957529,DESI-COSMOS-v2.0,148.507809,2.094021,0.310203,0.000014,GALAXY,,,1263.35
39089837394957574,DESI-COSMOS-v2.0,148.521918,2.063051,0.590847,0.000251,GALAXY,,,2236.52
39089837394947720,DESI-COSMOS-v2.0,148.481003,2.073568,0.475811,0.000050,GALAXY,,,1857.43
39089837394957672,DESI-COSMOS-v2.0,148.551135,2.083549,0.590299,0.000071,GALAXY,,,2233.33
39089837394957880,DESI-COSMOS-v2.0,148.621816,2.087388,0.689023,0.000133,GALAXY,,,2539.75
39089837394957952,DESI-COSMOS-v2.0,148.644138,2.090567,0.378942,0.000002,GALAXY,,,1517.18
39089837394965628,DESI-COSMOS-v2.0,148.623894,2.155551,0.362692,0.000064,GALAXY,,,1459.20
39089837394957807,DESI-COSMOS-v2.0,148.598845,2.007518,0.595171,0.000137,GALAXY,,,2249.24
39089837394957577,DESI-COSMOS-v2.0,148.523086,1.979319,0.000037,0.000010,STAR,,,0.00
39089837394947698,DESI-COSMOS-v2.0,148.469640,2.100197,0.427061,0.000017,GALAXY,,,1687.94
39089837394957643,DESI-COSMOS-v2.0,148.544279,2.042420,0.482375,0.000091,GALAXY,,,1877.85
39089837394957558,DESI-COSMOS-v2.0,148.518146,2.009285,0.576090,0.000069,GALAXY,,,2188.52
39089837394947771,DESI-COSMOS-v2.0,148.493925,2.026606,0.353874,0.000018,GALAXY,,,1426.36
39089837394957721,DESI-COSMOS-v2.0,148.567861,2.053811,0.000425,0.000127,STAR,,,0.00
39089837394957996,DESI-COSMOS-v2.0,148.657895,2.052447,0.452015,0.000097,GALAXY,,,1775.02
39089837394958064,DESI-COSMOS-v2.0,148.681716,2.120561,0.397189,0.000059,GALAXY,,,1581.77
39089837394957932,DESI-COSMOS-v2.0,148.637731,2.065198,0.449984,0.000059,GALAXY,,,1768.10
39089837394965792,DESI-COSMOS-v2.0,148.675038,2.142893,0.373963,0.000074,GALAXY,,,1499.12
39089837394958030,DESI-COSMOS-v2.0,148.669702,2.059716,0.308272,0.000012,GALAXY,,,1255.84
39089837394957864,DESI-COSMOS-v2.0,148.618219,2.032072,0.662860,0.000064,GALAXY,,,2461.02
39089837394965702,DESI-COSMOS-v2.0,148.643713,2.129667,0.481457,0.000043,GALAXY,,,1874.45
39089837394957829,DESI-COSMOS-v2.0,148.607781,2.080580,0.594889,0.000010,GALAXY,,,2249.24
39089837394957677,DESI-COSMOS-v2.0,148.552427,2.071442,0.496925,0.000093,GALAXY,,,1928.59
39089837394965918,DESI-COSMOS-v2.0,148.715629,2.125432,0.431239,0.000017,GALAXY,,,1701.96
39089837394957728,DESI-COSMOS-v2.0,148.570002,2.080595,0.501334,0.000086,GALAXY,,,1942.04
39089837394957815,DESI-COSMOS-v2.0,148.602195,2.114877,0.474552,0.000078,GALAXY,,,1854.01
39089837394957827,DESI-COSMOS-v2.0,148.607075,2.001603,0.484963,0.000065,GALAXY,,,1888.03
39627835538670099,DESI-COSMOS-v2.0,148.527339,1.975048,0.000893,0.000001,STAR,,,4.39
39089837394947635,DESI-COSMOS-v2.0,148.445501,1.953496,0.341189,0.000011,GALAXY,,,1378.61
39089837394947705,DESI-COSMOS-v2.0,148.474453,1.935680,0.386675,0.000007,GALAXY,,,1545.97
39089837394947577,DESI-COSMOS-v2.0,148.429294,1.927288,0.146101,0.000019,GALAXY,,,619.92
39089837394947758,DESI-COSMOS-v2.0,148.490422,1.964858,0.303012,0.000007,GALAXY,,,1237.04
39089837394957703,DESI-COSMOS-v2.0,148.559615,1.976754,0.222949,0.000023,GALAXY,,,929.07
39089837394957792,DESI-COSMOS-v2.0,148.592294,2.003197,0.483708,0.000120,GALAXY,,,1884.64
39089837394957611,DESI-COSMOS-v2.0,148.533945,2.035288,0.375074,0.000019,GALAXY,,,1502.73
39089837394947525,DESI-COSMOS-v2.0,148.413151,1.988815,0.416602,0.000015,GALAXY,,,1652.76
39089837394947713,DESI-COSMOS-v2.0,148.478590,1.910688,0.690251,0.000044,GALAXY,,,2542.75
39089837394947656,DESI-COSMOS-v2.0,148.452935,1.881271,0.109158,0.000004,GALAXY,,,466.95
39089837394947505,DESI-COSMOS-v2.0,148.409023,1.910588,0.715818,0.000080,GALAXY,,,2620.22
39089837394957579,DESI-COSMOS-v2.0,148.523265,1.936107,0.302940,0.000016,GALAXY,,,1237.04
39089837394958499,DESI-COSMOS-v2.0,148.811896,2.222471,0.733203,0.000129,GALAXY,,,2670.23
39089837394958308,DESI-COSMOS-v2.0,148.757188,2.198561,0.142928,0.000090,GALAXY,,,607.62
39089837394958462,DESI-COSMOS-v2.0,148.805060,2.251170,0.567662,0.000093,GALAXY,,,2162.75
39089837394958365,DESI-COSMOS-v2.0,148.774539,2.152490,0.747246,0.000145,GALAXY,,,2711.04
39089837394965988,DESI-COSMOS-v2.0,148.740646,2.183328,0.390448,0.000008,GALAXY,,,1556.73
39089837394958360,DESI-COSMOS-v2.0,148.772600,2.259512,0.427852,0.000183,GALAXY,,,1691.45
39089837394965986,DESI-COSMOS-v2.0,148.740174,2.203590,0.208227,0.000008,GALAXY,,,869.83
39089837394965746,DESI-COSMOS-v2.0,148.659894,2.209111,0.483046,0.000015,GALAXY,,,1881.24
39089837394958589,DESI-COSMOS-v2.0,148.840196,2.258577,0.448687,0.000009,GALAXY,,,1764.64
39089837394965845,DESI-COSMOS-v2.0,148.689143,2.204984,0.424415,0.000037,GALAXY,,,1677.41
39089837394965982,DESI-COSMOS-v2.0,148.738485,2.249017,0.547860,0.000012,GALAXY,,,2097.78
39089837394966007,DESI-COSMOS-v2.0,148.744957,2.157245,0.666471,0.000213,GALAXY,,,2470.16
39089837394957939,DESI-COSMOS-v2.0,148.639362,2.090773,0.281672,0.000017,GALAXY,,,1157.50
39089837394957740,DESI-COSMOS-v2.0,148.575595,2.089016,0.684587,0.000074,GALAXY,,,2527.71
39089837394957793,DESI-COSMOS-v2.0,148.593494,2.039766,0.498517,0.000045,GALAXY,,,1935.32
