targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39089837411735909,DESI-XMMLSS-v2.0,35.791079,-6.784603,1.310406,0.000335,QSO,,,4103.81
39089837411735868,DESI-XMMLSS-v2.0,35.729863,-6.714761,0.746921,0.000091,GALAXY,,,2711.04
39089837411735850,DESI-XMMLSS-v2.0,35.711812,-6.796216,0.260011,0.000043,GALAXY,,,1073.18
39089837411733263,DESI-XMMLSS-v2.0,35.690426,-6.726572,1.074082,0.000091,GALAXY,,,3574.24
39089837411733260,DESI-XMMLSS-v2.0,35.686511,-6.743223,0.757935,0.000006,GALAXY,,,2742.86
39089837411735971,DESI-XMMLSS-v2.0,35.894254,-6.704709,0.636811,0.000016,GALAXY,,,2381.06
39089837411735898,DESI-XMMLSS-v2.0,35.778300,-6.705685,1.216912,0.000081,GALAXY,,,3903.41
43977290534965683,DESI-XMMLSS-v2.0,35.918687,-6.723290,0.491219,0.000010,GALAXY,,,1908.34
39089837411739616,DESI-XMMLSS-v2.0,35.967042,-6.675031,1.828425,0.000455,QSO,,,5056.60
39089837411735958,DESI-XMMLSS-v2.0,35.868219,-6.647540,0.603237,0.000098,GALAXY,,,2274.61
39089837411735935,DESI-XMMLSS-v2.0,35.831829,-6.768639,2.393850,0.000545,QSO,,,5859.38
39089837411735957,DESI-XMMLSS-v2.0,35.868039,-6.744280,1.099909,0.000038,GALAXY,,,3636.09
39089837411735986,DESI-XMMLSS-v2.0,35.914455,-6.773268,0.600829,0.000094,GALAXY,,,2268.28
39089837411729271,DESI-XMMLSS-v2.0,34.651937,-6.754681,1.045694,0.000222,QSO,,,3506.59
39089837411737914,DESI-XMMLSS-v2.0,35.509697,-6.319811,0.834905,0.000118,GALAXY,,,2959.90
39089837411736875,DESI-XMMLSS-v2.0,35.430084,-6.286782,0.767088,0.000140,GALAXY,,,2768.75
39089837453634925,DESI-XMMLSS-v2.0,35.370487,-6.193762,1.180128,0.000059,GALAXY,,,3820.76
39089837453635377,DESI-XMMLSS-v2.0,35.403046,-6.214514,1.305320,0.000102,GALAXY,,,4093.29
39089837453635339,DESI-XMMLSS-v2.0,35.349638,-6.177657,0.736128,0.000037,GALAXY,,,2679.01
39089837453632218,DESI-XMMLSS-v2.0,35.357962,-6.194888,0.629781,0.000019,GALAXY,,,2359.32
39089837453631421,DESI-XMMLSS-v2.0,35.253747,-6.088923,0.515896,0.000005,GALAXY,,,1992.22
39089837453633489,DESI-XMMLSS-v2.0,35.375201,-6.260651,0.614513,0.000006,GALAXY,,,2312.42
39089837453632006,DESI-XMMLSS-v2.0,35.412125,-6.262036,0.587070,0.000039,GALAXY,,,2223.76
39089837453633397,DESI-XMMLSS-v2.0,35.328342,-6.205106,0.518868,0.000039,GALAXY,,,2002.20
39089837453634575,DESI-XMMLSS-v2.0,35.340576,-6.226111,0.837881,0.000046,GALAXY,,,2968.15
39089837453634497,DESI-XMMLSS-v2.0,35.490817,-6.272351,0.657819,0.000004,GALAXY,,,2445.74
39089837453632287,DESI-XMMLSS-v2.0,35.224107,-6.108764,0.543684,0.000027,GALAXY,,,2084.69
39089837453634132,DESI-XMMLSS-v2.0,35.449199,-6.260346,0.962659,0.000029,GALAXY,,,3299.54
39089837453632948,DESI-XMMLSS-v2.0,35.300307,-6.207302,0.513029,0.000046,GALAXY,,,1982.22
39089837453633609,DESI-XMMLSS-v2.0,35.287646,-6.113995,1.228923,0.000090,GALAXY,,,3929.85
39089837453631514,DESI-XMMLSS-v2.0,35.391599,-6.236356,0.658581,0.000017,GALAXY,,,2448.80
39089837453634083,DESI-XMMLSS-v2.0,35.491585,-6.284047,0.816755,0.000068,GALAXY,,,2910.05
39089837453634694,DESI-XMMLSS-v2.0,35.517726,-6.302142,0.962046,0.000052,GALAXY,,,3296.98
39089837453632055,DESI-XMMLSS-v2.0,35.446970,-6.287091,0.739137,0.000072,GALAXY,,,2687.76
39089837453635375,DESI-XMMLSS-v2.0,35.234195,-6.070108,0.815799,0.000070,GALAXY,,,2907.26
39089837453632798,DESI-XMMLSS-v2.0,35.314652,-6.236868,0.432402,0.000005,GALAXY,,,1705.46
39089837453634373,DESI-XMMLSS-v2.0,35.258640,-6.152190,0.173543,0.000030,GALAXY,,,733.78
39089837453631626,DESI-XMMLSS-v2.0,35.475281,-6.330734,1.085621,0.000079,GALAXY,,,3602.90
39089837453632826,DESI-XMMLSS-v2.0,35.549054,-6.331750,0.773854,0.000062,GALAXY,,,2788.78
39089837453632805,DESI-XMMLSS-v2.0,35.443050,-6.333415,1.051938,0.000131,GALAXY,,,3521.18
39089837453634121,DESI-XMMLSS-v2.0,35.560656,-6.341620,0.518287,0.000036,GALAXY,,,1998.87
