expression,value,residual,pct_from_data,mean_n,delta_n
Meissner * (1 + 1/12),0.25729167,0.00028466,0.1108,5.314233,0.000233
Meissner + ln2/(4*pi^2),0.25505762,-0.00194938,-0.7585,5.307942,-0.006058
ln(2)/(pi*sqrt(3)) * 2,0.25476805,-0.00223896,-0.8712,5.307123,-0.006877
ln(2)/pi * sqrt(4/3),0.25476805,-0.00223896,-0.8712,5.307123,-0.006877
Meissner + 1/(16*pi^2),0.24383257,-0.01317443,-5.1261,5.275476,-0.038524
Meissner * sqrt(4/3),0.27424138,0.01723437,6.7058,5.360254,0.046254
Meissner * (1 + alpha_fs),0.23923312,-0.01777389,-6.9157,5.261739,-0.052261
Meissner * (1 + 1/alpha_fs/100),0.23751733,-0.01948968,-7.5833,5.256547,-0.057453
ln(2+sqrt(3))/(pi*sqrt(2)),0.29641967,0.03941266,15.3352,5.416351,0.102351
ln(3)/(pi*sqrt(3)),0.20189890,-0.05510811,-21.4423,5.139347,-0.174653
Meissner * (4/3),0.31666667,0.05965966,23.2132,5.464013,0.150013
3*ln(2)/(2*pi*sqrt(3)),0.19107603,-0.06593097,-25.6534,5.099604,-0.214396
sqrt(3)*ln(2)/(2*pi),0.19107603,-0.06593097,-25.6534,5.099604,-0.214396
ln(2)*sqrt(2)/(pi*sqrt(3)),0.18014821,-0.07685879,-29.9053,5.057123,-0.256877
5*ln(2)/(4*pi*sqrt(3)),0.15923003,-0.09777698,-38.0445,4.968087,-0.345913
1/(4*pi*ln(2)),0.11480602,-0.14220098,-55.3296,4.732130,-0.581870
