event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW230518_125908,GWTC-4,Meissner_2004_area,0.237500,4.552408,0.063381,-0.761592,0
GW230529_181500,GWTC-4,Meissner_2004_area,0.237500,5.066748,0.114409,-0.247252,1
GW230601_224134,GWTC-4,Meissner_2004_area,0.237500,5.303171,0.116334,-0.010829,1
GW230605_065343,GWTC-4,Meissner_2004_area,0.237500,5.328961,0.080884,0.014961,1
GW230606_004305,GWTC-4,Meissner_2004_area,0.237500,5.267314,0.124580,-0.046686,1
GW230608_205047,GWTC-4,Meissner_2004_area,0.237500,5.323348,0.150314,0.009348,1
GW230609_064958,GWTC-4,Meissner_2004_area,0.237500,5.277822,0.105161,-0.036178,1
GW230624_113103,GWTC-4,Meissner_2004_area,0.237500,5.345692,0.132424,0.031692,1
GW230627_015337,GWTC-4,Meissner_2004_area,0.237500,5.336185,0.042723,0.022185,1
GW230628_231200,GWTC-4,Meissner_2004_area,0.237500,5.360780,0.051053,0.046780,1
GW230630_125806,GWTC-4,Meissner_2004_area,0.237500,5.393335,0.186934,0.079335,1
GW230630_234532,GWTC-4,Meissner_2004_area,0.237500,5.301217,0.073575,-0.012783,1
GW230702_185453,GWTC-4,Meissner_2004_area,0.237500,5.138509,0.221274,-0.175491,1
GW230704_021211,GWTC-4,Meissner_2004_area,0.237500,5.281083,0.126451,-0.032917,1
GW230704_212616,GWTC-4,Meissner_2004_area,0.237500,5.382914,0.256179,0.068914,1
GW230706_104333,GWTC-4,Meissner_2004_area,0.237500,5.409279,0.074271,0.095279,1
GW230707_124047,GWTC-4,Meissner_2004_area,0.237500,5.333081,0.081910,0.019081,1
GW230708_053705,GWTC-4,Meissner_2004_area,0.237500,5.383663,0.074190,0.069663,1
GW230708_230935,GWTC-4,Meissner_2004_area,0.237500,5.291363,0.169230,-0.022637,1
GW230709_122727,GWTC-4,Meissner_2004_area,0.237500,5.354226,0.168621,0.040226,1
GW230712_090405,GWTC-4,Meissner_2004_area,0.237500,5.088518,0.279950,-0.225482,1
GW230723_101834,GWTC-4,Meissner_2004_area,0.237500,5.248317,0.108581,-0.065683,1
GW230726_002940,GWTC-4,Meissner_2004_area,0.237500,5.343247,0.067661,0.029247,1
GW230729_082317,GWTC-4,Meissner_2004_area,0.237500,5.334488,0.147591,0.020488,1
GW230731_215307,GWTC-4,Meissner_2004_area,0.237500,5.327560,0.047834,0.013560,1
GW230803_033412,GWTC-4,Meissner_2004_area,0.237500,5.334076,0.150105,0.020076,1
GW230805_034249,GWTC-4,Meissner_2004_area,0.237500,5.333386,0.154833,0.019386,1
GW230806_204041,GWTC-4,Meissner_2004_area,0.237500,5.362558,0.134656,0.048558,1
GW230811_032116,GWTC-4,Meissner_2004_area,0.237500,5.305687,0.097788,-0.008313,1
GW230814_061920,GWTC-4,Meissner_2004_area,0.237500,5.316066,0.132483,0.002066,1
