gamma,mean_n,median_n,chi2,delta_n
0.050000,4.132531,4.202945,1.39586951,-1.181469
0.050551,4.140430,4.210844,1.37726622,-1.173570
0.051101,4.148244,4.218658,1.35898722,-1.165756
0.051652,4.155974,4.226388,1.34102427,-1.158026
0.052202,4.163622,4.234036,1.32336938,-1.150378
0.052753,4.171190,4.241604,1.30601487,-1.142810
0.053303,4.178679,4.249093,1.28895330,-1.135321
0.053854,4.186092,4.256506,1.27217751,-1.127908
0.054404,4.193428,4.263842,1.25568057,-1.120572
0.054955,4.200692,4.271106,1.23945577,-1.113308
0.055506,4.207882,4.278296,1.22349664,-1.106118
0.056056,4.215002,4.285416,1.20779691,-1.098998
0.056607,4.222052,4.292466,1.19235053,-1.091948
0.057157,4.229034,4.299448,1.17715162,-1.084966
0.057708,4.235949,4.306363,1.16219450,-1.078051
0.058258,4.242798,4.313212,1.14747368,-1.071202
0.058809,4.249583,4.319997,1.13298382,-1.064417
0.059359,4.256304,4.326719,1.11871978,-1.057696
0.059910,4.262964,4.333378,1.10467653,-1.051036
0.060460,4.269563,4.339977,1.09084923,-1.044437
0.061011,4.276102,4.346516,1.07723318,-1.037898
0.061562,4.282582,4.352996,1.06382381,-1.031418
0.062112,4.289004,4.359418,1.05061670,-1.024996
0.062663,4.295370,4.365784,1.03760754,-1.018630
0.063213,4.301680,4.372094,1.02479216,-1.012320
0.063764,4.307935,4.378349,1.01216652,-1.006065
0.064314,4.314137,4.384551,0.99972667,-0.999863
0.064865,4.320285,4.390699,0.98746880,-0.993715
0.065415,4.326382,4.396796,0.97538919,-0.987618
0.065966,4.332428,4.402842,0.96348422,-0.981572
0.066517,4.338423,4.408837,0.95175040,-0.975577
0.067067,4.344369,4.414783,0.94018429,-0.969631
0.067618,4.350266,4.420680,0.92878259,-0.963734
0.068168,4.356116,4.426530,0.91754206,-0.957884
0.068719,4.361918,4.432332,0.90645955,-0.952082
0.069269,4.367674,4.438088,0.89553202,-0.946326
