event,catalog,wf_key,n_samples,erad_field,median_M,median_E,median_n_your_K0,std_n_your_K0,delta_from_pred,in_bbh_band
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,147634,radiated_energy,64.2640,2.955480,5.340180,0.046137,0.026180,1
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,199766,radiated_energy,64.2184,2.954472,5.340443,0.045957,0.026443,1
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,68167,radiated_energy,38.8440,1.595824,5.283719,0.208789,-0.030281,1
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,137933,radiated_energy,38.4220,1.604982,5.295230,0.203841,-0.018770,1
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,133885,radiated_energy,21.6734,0.985001,5.333977,0.189791,0.019977,1
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,188541,radiated_energy,21.6612,0.981699,5.331727,0.189910,0.017727,1
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,80854,radiated_energy,49.9996,2.188264,5.309539,0.087598,-0.004461,1
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,169007,radiated_energy,49.6974,2.178976,5.310653,0.085239,-0.003347,1
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,219080,radiated_energy,18.6246,0.863945,5.351129,0.088127,0.037129,1
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,285112,radiated_energy,18.6091,0.862832,5.350833,0.088712,0.036833,1
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,37428,radiated_energy,83.5641,4.137315,5.393465,0.199620,0.079465,1
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,173308,radiated_energy,82.4750,4.339815,5.440151,0.178804,0.126151,1
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,89622,radiated_energy,58.4839,2.743828,5.361374,0.087983,0.047374,1
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,177783,radiated_energy,58.3371,2.744965,5.363420,0.086552,0.049420,1
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,139163,radiated_energy,55.6541,2.691341,5.378668,0.046399,0.064668,1
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,197034,radiated_energy,55.5515,2.688782,5.379275,0.046136,0.065275,1
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,84033,radiated_energy,62.4971,2.844163,5.334096,0.066714,0.020096,1
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,160046,radiated_energy,62.2874,2.848401,5.337561,0.066023,0.023561,1
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,42612,radiated_energy,66.9488,3.166134,5.363940,0.103500,0.049940,1
