log10_A,A,sigma_pooled,mean_n,per_event_sigma,null_mean,null_std,delta_from_5314
-4.477173,3.332934e-05,0.277287,8.578423,0.26705,0.277287,0.0,3.264423
-4.470496,3.384578e-05,0.277287,8.567331,0.26705,0.277287,0.0,3.253331
-4.463818,3.437022e-05,0.277287,8.556239,0.26705,0.277287,0.0,3.242239
-4.45714,3.490278e-05,0.277287,8.545148,0.26705,0.277287,0.0,3.231148
-4.450462,3.544360e-05,0.277287,8.534056,0.26705,0.277287,0.0,3.220056
-4.443784,3.599280e-05,0.277287,8.522965,0.26705,0.277287,0.0,3.208965
-4.437107,3.655051e-05,0.277287,8.511873,0.26705,0.277287,0.0,3.197873
-4.430429,3.711686e-05,0.277287,8.500782,0.26705,0.277287,0.0,3.186782
-4.423751,3.769199e-05,0.277287,8.48969,0.26705,0.277287,0.0,3.17569
-4.417073,3.827603e-05,0.277287,8.478598,0.26705,0.277287,0.0,3.164598
-4.410395,3.886911e-05,0.277287,8.467507,0.26705,0.277287,0.0,3.153507
-4.403718,3.947139e-05,0.277287,8.456415,0.26705,0.277287,0.0,3.142415
-4.39704,4.008300e-05,0.277287,8.445324,0.26705,0.277287,0.0,3.131324
-4.390362,4.070409e-05,0.277287,8.434232,0.26705,0.277287,0.0,3.120232
-4.383684,4.133480e-05,0.277287,8.423141,0.26705,0.277287,0.0,3.109141
-4.377006,4.197528e-05,0.277287,8.412049,0.26705,0.277287,0.0,3.098049
-4.370329,4.262569e-05,0.277287,8.400957,0.26705,0.277287,0.0,3.086957
-4.363651,4.328617e-05,0.277287,8.389866,0.26705,0.277287,0.0,3.075866
-4.356973,4.395689e-05,0.277287,8.378774,0.26705,0.277287,0.0,3.064774
-4.350295,4.463801e-05,0.277287,8.367683,0.26705,0.277287,0.0,3.053683
-4.343617,4.532967e-05,0.277287,8.356591,0.26705,0.277287,0.0,3.042591
-4.33694,4.603206e-05,0.277287,8.345499,0.26705,0.277287,0.0,3.031499
-4.330262,4.674533e-05,0.277287,8.334408,0.26705,0.277287,0.0,3.020408
-4.323584,4.746965e-05,0.277287,8.323316,0.26705,0.277287,0.0,3.009316
-4.316906,4.820519e-05,0.277287,8.312225,0.26705,0.277287,0.0,2.998225
-4.310228,4.895213e-05,0.277287,8.301133,0.26705,0.277287,0.0,2.987133
-4.303551,4.971064e-05,0.277287,8.290042,0.26705,0.277287,0.0,2.976042
-4.296873,5.048091e-05,0.277287,8.27895,0.26705,0.277287,0.0,2.96495
-4.290195,5.126311e-05,0.277287,8.267858,0.26705,0.277287,0.0,2.953858
-4.283517,5.205743e-05,0.277287,8.256767,0.26705,0.277287,0.0,2.942767
-4.276839,5.286407e-05,0.277287,8.245675,0.26705,0.277287,0.0,2.931675
-4.270162,5.368320e-05,0.277287,8.234584,0.26705,0.277287,0.0,2.920584
-4.263484,5.451502e-05,0.277287,8.223492,0.26705,0.277287,0.0,2.909492
-4.256806,5.535973e-05,0.277287,8.212401,0.26705,0.277287,0.0,2.898401
-4.250128,5.621753e-05,0.277287,8.201309,0.26705,0.277287,0.0,2.887309
-4.24345,5.708862e-05,0.277287,8.190217,0.26705,0.277287,0.0,2.876217
-4.236773,5.797321e-05,0.277287,8.179126,0.26705,0.277287,0.0,2.865126
-4.230095,5.887150e-05,0.277287,8.168034,0.26705,0.277287,0.0,2.854034
-4.223417,5.978372e-05,0.277287,8.156943,0.26705,0.277287,0.0,2.842943
-4.216739,6.071007e-05,0.277287,8.145851,0.26705,0.277287,0.0,2.831851
-4.210061,6.165077e-05,0.277287,8.134759,0.26705,0.277287,0.0,2.820759
-4.203384,6.260605e-05,0.277287,8.123668,0.26705,0.277287,0.0,2.809668
-4.196706,6.357613e-05,0.277287,8.112576,0.26705,0.277287,0.0,2.798576
-4.190028,6.456125e-05,0.277287,8.101485,0.26705,0.277287,0.0,2.787485
-4.18335,6.556163e-05,0.277287,8.090393,0.26705,0.277287,0.0,2.776393
-4.176672,6.657750e-05,0.277287,8.079302,0.26705,0.277287,0.0,2.765302
-4.169995,6.760912e-05,0.277287,8.06821,0.26705,0.277287,0.0,2.75421
-4.163317,6.865673e-05,0.277287,8.057118,0.26705,0.277287,0.0,2.743118
-4.156639,6.972056e-05,0.277287,8.046027,0.26705,0.277287,0.0,2.732027
-4.149961,7.080089e-05,0.277287,8.034935,0.26705,0.277287,0.0,2.720935
-4.143284,7.189795e-05,0.277287,8.023844,0.26705,0.277287,0.0,2.709844
-4.136606,7.301201e-05,0.277287,8.012752,0.26705,0.277287,0.0,2.698752
-4.129928,7.414333e-05,0.277287,8.00166,0.26705,0.277287,0.0,2.68766
-4.12325,7.529218e-05,0.277287,7.990569,0.26705,0.277287,0.0,2.676569
-4.116572,7.645883e-05,0.277287,7.979477,0.26705,0.277287,0.0,2.665477
-4.109895,7.764357e-05,0.277287,7.968386,0.26705,0.277287,0.0,2.654386
-4.103217,7.884665e-05,0.277287,7.957294,0.26705,0.277287,0.0,2.643294
-4.096539,8.006838e-05,0.277287,7.946203,0.26705,0.277287,0.0,2.632203
-4.089861,8.130904e-05,0.277287,7.935111,0.26705,0.277287,0.0,2.621111
-4.083183,8.256893e-05,0.277287,7.924019,0.26705,0.277287,0.0,2.610019
-4.076506,8.384834e-05,0.277287,7.912928,0.26705,0.277287,0.0,2.598928
-4.069828,8.514757e-05,0.277287,7.901836,0.26705,0.277287,0.0,2.587836
-4.06315,8.646693e-05,0.277287,7.890745,0.26705,0.277287,0.0,2.576745
-4.056472,8.780674e-05,0.277287,7.879653,0.26705,0.277287,0.0,2.565653
-4.049794,8.916730e-05,0.277287,7.868562,0.26705,0.277287,0.0,2.554562
-4.043117,9.054895e-05,0.277287,7.85747,0.26705,0.277287,0.0,2.54347
-4.036439,9.195201e-05,0.277287,7.846378,0.26705,0.277287,0.0,2.532378
