event,catalog,waveform,strat,n_sph,n_car_schw,n_car_kerr,med_eta,log2_eta,med_chi,e_chi2,beta_mc,med_a_f,dn_kerr,med_dn_kerr,M_total,med_q,med_z,in_band
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.340209,137.637871,138.821494,0.248267,-2.010033,-0.05572,0.011,0.978,0.682518,1.183623,1.188664,64.264,0.8463,0.0963,1
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.283749,136.911553,138.10931,0.227437,-2.136461,0.110989,0.039714,0.920572,0.687543,1.197758,1.20102,38.844,0.538,0.1937,1
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.334007,136.069785,137.468931,0.226093,-2.145013,0.201542,0.06212,0.875761,0.75307,1.399146,1.401179,21.6734,0.5276,0.0973,1
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.309569,137.275776,138.419787,0.242722,-2.042622,-0.042148,0.013596,0.972808,0.668122,1.144011,1.148921,49.9996,0.7085,0.2113,1
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.351159,135.851072,137.071593,0.243016,-2.04088,0.043392,0.008717,0.982566,0.695514,1.22052,1.213966,18.6246,0.7136,0.0707,1
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.393495,138.016743,139.493419,0.229095,-2.125979,0.257197,0.08836,0.823281,0.775439,1.476676,1.501132,83.5641,0.5514,0.4267,1
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.361404,137.501899,138.775856,0.242596,-2.04337,0.079474,0.017657,0.964687,0.713648,1.273957,1.266044,58.4839,0.7064,0.2147,1
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.378698,137.430347,138.689558,0.247125,-2.016687,0.060555,0.009264,0.981472,0.708724,1.259211,1.260691,55.6541,0.8063,0.1223,1
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.334126,137.59765,138.810256,0.246802,-2.018575,-0.04234,0.01723,0.965541,0.69276,1.212606,1.211206,62.4971,0.7968,0.222,1
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.36397,137.696918,138.967458,0.245536,-2.025992,0.053065,0.019995,0.960011,0.712512,1.27054,1.268181,66.9488,0.7643,0.3575,1
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.21412,138.375223,140.510884,0.140053,-2.835955,0.678607,0.44396,0.11208,0.912194,2.13566,2.125128,107.1354,0.2025,1.1374,1
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.321596,137.074744,138.221365,0.244334,-2.033076,-0.030107,0.010946,0.978108,0.669085,1.146621,1.148035,43.496,0.7383,0.2858,1
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.022211,136.897184,138.011141,0.171624,-2.542674,0.246978,0.064857,0.870287,0.656886,1.113957,1.114743,38.4591,0.2821,0.1416,1
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.313018,137.490584,138.648821,0.24389,-2.035697,-0.035302,0.032727,0.934545,0.673345,1.158237,1.154846,58.027,0.7296,0.5579,1
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.273783,137.976248,139.152326,0.234252,-2.093868,-0.00849,0.039836,0.920329,0.679812,1.176078,1.180834,81.2511,0.5987,0.6226,1
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.305285,137.833764,138.957029,0.246284,-2.021606,-0.095948,0.033911,0.932179,0.660395,1.123265,1.112329,73.6101,0.7827,0.4527,1
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.418206,139.142371,140.606351,0.24542,-2.026676,0.226078,0.118247,0.763506,0.771879,1.46398,1.461334,182.3339,0.7616,0.7259,1
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.289253,137.749402,138.869527,0.240268,-2.057282,-0.05748,0.030959,0.938082,0.659214,1.120125,1.11838,69.4292,0.6704,0.2841,1
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.235675,136.805352,137.903865,0.224026,-2.158262,0.027948,0.008905,0.982189,0.651006,1.098513,1.088759,36.0873,0.5125,0.2783,1
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,5.265078,137.393551,138.637444,0.218414,-2.194861,0.134551,0.04092,0.91816,0.703545,1.243893,1.251645,54.2525,0.4755,0.3888,1
