event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,posterior,64.264,-0.0557,0.6825,0.0963,5.340209,0.046137,137.637871,137.696879,136.598929,-1.038943,132.297662,132.35667,131.258719,-4.738337,-4.679329,-5.77728,6.005939,137.035999,5.313987
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,posterior,64.2184,-0.0547,0.6827,0.0978,5.340473,0.045957,137.636848,137.694833,136.597485,-1.039363,132.296375,132.35436,131.257012,-4.739624,-4.681639,-5.778987,6.004916,137.035999,5.313987
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,posterior,38.844,0.111,0.6875,0.1937,5.283749,0.208789,136.911553,136.786675,135.860852,-1.0507,131.627804,131.502927,130.577103,-5.408195,-5.533072,-6.458896,5.279621,137.035999,5.313987
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,posterior,38.422,0.1178,0.6937,0.2083,5.295259,0.203841,136.895793,136.762894,135.83054,-1.065253,131.600533,131.467634,130.53528,-5.435466,-5.568365,-6.500719,5.263861,137.035999,5.313987
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,posterior,21.6734,0.2015,0.7531,0.0973,5.334007,0.189791,136.069785,135.834633,134.853513,-1.216272,130.735778,130.500627,129.519506,-6.300221,-6.535373,-7.516493,4.437853,137.035999,5.313987
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,posterior,21.6612,0.2031,0.7534,0.0994,5.331756,0.18991,136.068974,135.831868,134.851678,-1.217295,130.737218,130.500112,129.519922,-6.298781,-6.535887,-7.516077,4.437042,137.035999,5.313987
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,posterior,49.9996,-0.0421,0.6681,0.2113,5.309569,0.087598,137.275776,137.320619,136.269876,-1.005899,131.966206,132.01105,130.960307,-5.069793,-5.024949,-6.075692,5.643844,137.035999,5.313987
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,posterior,49.6974,-0.0391,0.6692,0.2205,5.310683,0.085239,137.267031,137.308689,136.258685,-1.008346,131.956348,131.998006,130.948002,-5.079651,-5.037993,-6.087997,5.635099,137.035999,5.313987
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,posterior,18.6246,0.0434,0.6955,0.0707,5.351159,0.088127,135.851072,135.803477,134.781474,-1.069598,130.499914,130.452318,129.430316,-6.536086,-6.583681,-7.605684,4.219141,137.035999,5.313987
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,posterior,18.6091,0.0436,0.6955,0.0718,5.350863,0.088712,135.849865,135.802038,134.780214,-1.069651,130.499002,130.451175,129.429351,-6.536997,-6.584824,-7.606648,4.217933,137.035999,5.313987
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,posterior,83.5641,0.2572,0.7754,0.4267,5.393495,0.19962,138.016743,137.709433,136.737732,-1.279011,132.623248,132.315938,131.344237,-4.412751,-4.720061,-5.691762,6.384811,137.035999,5.313987
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,posterior,82.475,0.3064,0.7972,0.4943,5.440181,0.178804,137.997817,137.623522,136.653854,-1.343963,132.557637,132.183342,131.213673,-4.478362,-4.852658,-5.822326,6.365885,137.035999,5.313987
