event_file,catalog,waveform_key,erad_strategy,M_total_med,log2_M,chi_eff_med,af_med,m_irr_final_med,e_th_med,e_th_frac_med,n_std,n_std_std,gap_std,n_irr,n_irr_std,gap_irr,n_above,n_above_std,gap_above,has_variant_c,in_band_std,n_samples
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,64.264,6.005939,-0.05572,0.682518,57.015,0.0,0.0,5.340209,0.046137,132.297662,5.42641,0.052507,132.211461,5.33989,0.161342,132.297982,1,1,147634
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,64.2184,6.004916,-0.054736,0.682698,56.9682,0.0,0.0,5.340473,0.045957,132.296375,5.426731,0.052333,132.210116,5.340142,0.159462,132.296706,1,1,199766
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.844,5.279621,0.110989,0.687543,34.3656,0.0,0.0,5.283749,0.208789,131.627804,5.36828,0.22628,131.543273,5.281077,0.230919,131.630476,1,1,68167
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,38.422,5.263861,0.117807,0.693693,33.8953,0.0,0.0,5.295259,0.203841,131.600533,5.381941,0.221421,131.513852,5.292555,0.225078,131.603238,1,1,137933
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,21.6734,4.437853,0.201542,0.75307,18.8296,0.0,0.0,5.334007,0.189791,130.735778,5.435266,0.187412,130.634519,5.331093,0.235414,130.738691,1,1,133885
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,21.6612,4.437042,0.203086,0.753446,18.817,0.0,0.0,5.331756,0.18991,130.737218,5.433046,0.187579,130.635928,5.329064,0.233888,130.73991,1,1,188541
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,49.9996,5.643844,-0.042148,0.668122,44.6419,0.0,0.0,5.309569,0.087598,131.966206,5.391399,0.097856,131.884376,5.308873,0.171854,131.966903,1,1,80854
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,49.6974,5.635099,-0.039113,0.669201,44.3464,0.0,0.0,5.310683,0.085239,131.956348,5.392759,0.095322,131.874273,5.309897,0.168577,131.957134,1,1,169007
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,18.6246,4.219141,0.043392,0.695514,16.4368,0.0,0.0,5.351159,0.088127,130.499914,5.441012,0.091723,130.41006,5.350153,0.124481,130.50092,1,1,219080
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,18.6091,4.217933,0.0436,0.695536,16.4229,0.0,0.0,5.350863,0.088712,130.499002,5.440675,0.092345,130.40919,5.349812,0.124221,130.500053,1,1,285112
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,83.5641,6.384811,0.257197,0.775439,72.3669,0.0,0.0,5.393495,0.19962,132.623248,5.504588,0.228444,132.512155,5.392557,0.212059,132.624187,1,1,37428
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,82.475,6.365885,0.306416,0.797236,70.4414,0.0,0.0,5.440181,0.178804,132.557637,5.559632,0.20559,132.438185,5.439017,0.195489,132.5588,1,1,173308
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.4839,5.869967,0.079474,0.713648,51.3367,0.0,0.0,5.361404,0.087983,132.140495,5.454514,0.099069,132.047386,5.36045,0.151632,132.14145,1,1,89622
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,58.3371,5.866341,0.083272,0.715622,51.161,0.0,0.0,5.36345,0.086552,132.134823,5.457144,0.097505,132.041129,5.362401,0.149121,132.135871,1,1,177783
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,55.6541,5.798415,0.060555,0.708724,48.7864,0.0,0.0,5.378698,0.046399,132.051649,5.472311,0.054659,131.958036,5.377776,0.099196,132.052571,1,1,139163
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,55.5515,5.795753,0.061347,0.709464,48.6829,0.0,0.0,5.379305,0.046136,132.04838,5.47312,0.05436,131.954565,5.378399,0.100444,132.049286,1,1,197034
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,62.4971,5.965718,-0.04234,0.69276,55.2595,0.0,0.0,5.334126,0.066714,132.263524,5.422426,0.077263,132.175224,5.332281,0.223653,132.265368,1,1,84033
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,62.2874,5.960868,-0.034654,0.695292,55.0152,0.0,0.0,5.33759,0.066023,132.25521,5.426538,0.076544,132.166262,5.335705,0.219868,132.257095,1,1,160046
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.9488,6.064986,0.053065,0.712512,58.7662,0.0,0.0,5.36397,0.1035,132.332948,5.457017,0.116775,132.239901,5.363619,0.20333,132.333299,1,1,42612
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,66.2608,6.050084,0.065069,0.718034,58.0416,0.0,0.0,5.36973,0.09842,132.312286,5.4644,0.111597,132.217615,5.369156,0.192884,132.31286,1,1,136399
