event_file,catalog,waveform_key,median_n,in_bbh_band,n_posterior_samples,median_chi_eff,e_chi2_posterior,e_chi2_median2,beta_posterior,beta_median2,delta_beta,gb_old_beta,gb_new_beta,spin_cat
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34051,1,199766,-0.05474,0.010817,0.002996,0.97837,0.99401,-0.01564,0.83563,1.0,low
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29529,1,137933,0.11781,0.042728,0.013878,0.91454,0.97224,-0.0577,0.89946,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33179,1,188541,0.20309,0.062672,0.041244,0.87466,0.91751,-0.04286,0.93934,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31072,1,169007,-0.03911,0.012855,0.00153,0.97429,0.99694,-0.02265,0.83971,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.3509,1,285112,0.0436,0.008835,0.001901,0.98233,0.9962,-0.01387,0.83167,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.44022,1,173308,0.30642,0.108822,0.093891,0.78236,0.81222,-0.02986,1.03164,1.0,high
6513631/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36348,1,177783,0.08327,0.01805,0.006934,0.9639,0.98613,-0.02223,0.8501,1.0,low
6513631/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.37934,1,197034,0.06135,0.009331,0.003763,0.98134,0.99247,-0.01114,0.83266,1.0,low
6513631/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33763,1,160046,-0.03465,0.016159,0.001201,0.96768,0.9976,-0.02992,0.84632,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36976,1,136399,0.06507,0.020924,0.004234,0.95815,0.99153,-0.03338,0.85585,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40018,1,178895,0.69593,0.467162,0.484315,0.06568,0.03137,0.03431,1.74832,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32146,1,127008,-0.02912,0.010262,0.000848,0.97948,0.9983,-0.01883,0.83452,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.02076,1,264789,0.24789,0.065333,0.061449,0.86933,0.8771,-0.00777,0.94467,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32943,1,144722,-0.00355,0.030345,1.3e-05,0.93931,0.99997,-0.06066,0.87469,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31107,1,155335,0.02107,0.035307,0.000444,0.92939,0.99911,-0.06973,0.88461,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31039,1,147856,-0.08395,0.0307,0.007047,0.9386,0.98591,-0.04731,0.8754,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.44931,1,155608,0.29754,0.146959,0.088531,0.70608,0.82294,-0.11686,1.10792,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29839,1,166116,-0.04251,0.027768,0.001807,0.94446,0.99639,-0.05192,0.86954,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.238,1,181271,0.02944,0.008914,0.000867,0.98217,0.99827,-0.01609,0.83183,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.28214,1,180002,0.15022,0.046268,0.022566,0.90746,0.95487,-0.0474,0.90654,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29992,1,123633,-0.06762,0.040365,0.004572,0.91927,0.99086,-0.07158,0.89473,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.55257,1,161299,0.47323,0.231549,0.22395,0.5369,0.5521,-0.0152,1.2771,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.45327,1,150207,0.33665,0.124647,0.113332,0.75071,0.77334,-0.02263,1.06329,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.306,1,148527,0.00147,0.074626,2e-06,0.85075,1.0,-0.14925,0.96325,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.3748,1,210737,0.07258,0.010491,0.005267,0.97902,0.98947,-0.01045,0.83498,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34275,1,141653,0.12064,0.049587,0.014555,0.90083,0.97089,-0.07007,0.91317,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36732,1,155451,0.15214,0.046621,0.023147,0.90676,0.95371,-0.04695,0.90724,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.43967,1,152410,0.33267,0.124806,0.110672,0.75039,0.77866,-0.02827,1.06361,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36557,1,171387,0.09412,0.016694,0.008858,0.96661,0.98228,-0.01567,0.84739,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.30224,1,160160,-0.08496,0.03498,0.007217,0.93004,0.98557,-0.05553,0.88396,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40953,1,159868,0.322,0.123149,0.103686,0.7537,0.79263,-0.03893,1.0603,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31066,1,367463,-0.06341,0.006969,0.004021,0.98606,0.99196,-0.0059,0.82794,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34133,1,94772,0.01964,0.00467,0.000386,0.99066,0.99923,-0.00857,0.82334,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.39785,1,153538,0.30411,0.135769,0.092486,0.72846,0.81503,-0.08657,1.08554,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32849,1,131644,0.17495,0.042276,0.030609,0.91545,0.93878,-0.02333,0.89855,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.22206,1,170198,-0.03561,0.02879,0.001268,0.94242,0.99746,-0.05504,0.87158,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.38788,1,162922,0.09895,0.031165,0.00979,0.93767,0.98042,-0.04275,0.87633,1.0,low
