event_file,event_type,waveform_key,n_samples,median_n,mean_n,std_n,in_bbh_band,median_chi_eff,E_chi_eff_sq,beta_fixed,GB_value,delta_from_unity
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,199766,5.34051,5.3331,0.04596,1,-0.05474,0.010817,0.814,0.835635,-0.164365
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,137933,5.29529,5.24436,0.20384,1,0.11781,0.042728,0.814,0.899456,-0.100544
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,188541,5.33179,5.26595,0.18991,1,0.20309,0.062672,0.814,0.939344,-0.060656
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,169007,5.31072,5.29459,0.08524,1,-0.03911,0.012855,0.814,0.83971,-0.16029
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,285112,5.3509,5.31858,0.08871,1,0.0436,0.008835,0.814,0.831669,-0.168331
6513631/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,173308,5.44022,5.39884,0.1788,1,0.30642,0.108822,0.814,1.031644,0.031644
6513631/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,177783,5.36348,5.34835,0.08655,1,0.08327,0.01805,0.814,0.8501,-0.1499
6513631/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,197034,5.37934,5.37526,0.04614,1,0.06135,0.009331,0.814,0.832663,-0.167337
6513631/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,160046,5.33763,5.33012,0.06602,1,-0.03465,0.016159,0.814,0.846318,-0.153682
6513631/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,136399,5.36976,5.35321,0.09842,1,0.06507,0.020924,0.814,0.855848,-0.144152
6513631/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,178895,5.40018,5.35747,0.29268,1,0.69593,0.467162,0.814,1.748325,0.748325
6513631/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,127008,5.32146,5.30801,0.07264,1,-0.02912,0.010262,0.814,0.834524,-0.165476
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,264789,5.02076,5.01837,0.0788,1,0.24789,0.065333,0.814,0.944665,-0.055335
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,144722,5.32943,5.31507,0.1112,1,-0.00355,0.030345,0.814,0.87469,-0.12531
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,155335,5.31107,5.27361,0.1697,1,0.02107,0.035307,0.814,0.884615,-0.115385
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,147856,5.31039,5.29278,0.09766,1,-0.08395,0.0307,0.814,0.8754,-0.1246
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,155608,5.44931,5.43702,0.16698,1,0.29754,0.146959,0.814,1.107918,0.107918
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,166116,5.29839,5.26749,0.13215,1,-0.04251,0.027768,0.814,0.869536,-0.130464
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,181271,5.238,5.22596,0.10916,1,0.02944,0.008914,0.814,0.831828,-0.168172
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,180002,5.28214,5.26773,0.1623,1,0.15022,0.046268,0.814,0.906537,-0.093463
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,123633,5.29992,5.27932,0.12757,1,-0.06762,0.040365,0.814,0.894729,-0.105271
6513631/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,161299,5.55257,5.49895,0.19653,1,0.47323,0.231549,0.814,1.277099,0.277099
