waveform_key,n_samples,n_min,n_5pct,n_10pct,n_median,n_mean,n_90pct,n_95pct,n_max,n_std,n_flip,frac_below_nflip,frac_below_3.5,frac_below_3.0,frac_above_nflip,frac_in_nsbh_band,frac_in_bbh_band,anomaly_survives_90pct_CI,anomaly_survives_50pct_CI,C_implied_median,C_implied_5pct,C_implied_95pct,C_nsbh_expected_lo,C_nsbh_expected_hi,C_in_nsbh_range,median_m1_msun,median_m2_msun,median_chirp_msun,median_q,median_chi_eff,median_redshift,source_file
C01:IMRPhenomNSBH:HighSpin,12270,3.0616,3.23622,3.26523,3.35023,3.65872,5.29045,5.91391,6.30895,0.8075,3.561,0.8491,0.8425,0.0,0.1509,0.0182,0.0618,False,True,-0.06012,-0.09264,0.67111,0.28,0.34,False,29.174,1.188,4.231,0.0405,-0.03786,0.13671,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5
C01:IMRPhenomNSBH:LowSpin,12067,3.06547,3.23654,3.2667,3.34518,3.64447,5.20435,5.86907,6.30802,0.79088,3.561,0.8539,0.8494,0.0,0.1461,0.019,0.0637,False,True,-0.06156,-0.09254,0.65832,0.28,0.34,False,29.229,1.187,4.233,0.0405,-0.03717,0.1357,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5
C01:IMRPhenomXPHM:HighSpin,14965,2.64585,3.22976,3.23889,3.27212,3.27669,3.319,3.33737,5.55903,0.04671,3.561,0.9992,0.9985,0.0001,0.0008,0.0,0.0002,True,True,-0.0824,-0.09448,-0.06378,0.28,0.34,False,31.589,1.167,4.333,0.0369,0.00477,0.10976,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5
C01:IMRPhenomXPHM:LowSpin,14831,2.88494,3.23139,3.23997,3.27121,3.27604,3.31616,3.33487,5.45829,0.04663,3.561,0.999,0.9987,0.0001,0.001,0.0002,0.0002,True,True,-0.08266,-0.09401,-0.0645,0.28,0.34,False,31.621,1.167,4.335,0.0369,0.00532,0.10913,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5
C01:Mixed,27115,2.95399,3.22759,3.23962,3.28158,3.28764,3.33853,3.35819,4.95102,0.05233,3.561,0.9942,0.9938,0.0001,0.0058,0.0,0.0,True,True,-0.0797,-0.0951,-0.05785,0.28,0.34,False,31.123,1.169,4.314,0.0375,-0.0002,0.11504,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5
C01:SEOBNRv4PHM,13055,2.79476,3.22327,3.24224,3.29529,3.30023,3.35207,3.3705,5.25774,0.06713,3.561,0.9884,0.9881,0.0002,0.0116,0.0,0.0002,True,True,-0.07579,-0.09633,-0.05434,0.28,0.34,False,30.569,1.172,4.291,0.0382,-0.00584,0.12171,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5
C01:IMRPhenomNSBH:HighSpin,20000,3.0616,3.23582,3.26491,3.34956,3.66077,5.32199,5.91659,6.30895,0.81179,3.561,0.8488,0.842,0.0,0.1512,0.0181,0.0626,False,True,-0.06031,-0.09275,0.67187,0.28,0.34,False,29.092,1.182,4.213,0.0404,-0.03623,0.14151,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5
C01:IMRPhenomNSBH:LowSpin,20000,3.06547,3.23724,3.26691,3.3448,3.63774,5.1871,5.84571,6.30802,0.78323,3.561,0.8568,0.852,0.0,0.1432,0.0186,0.0622,False,True,-0.06167,-0.09234,0.65166,0.28,0.34,False,29.122,1.183,4.216,0.0404,-0.03707,0.14086,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5
C01:IMRPhenomXPHM:HighSpin,20000,2.64585,3.22947,3.2388,3.27267,3.27828,3.3208,3.33935,5.55903,0.06026,3.561,0.9982,0.9976,0.0001,0.0018,0.0004,0.0005,True,True,-0.08224,-0.09456,-0.06322,0.28,0.34,False,31.535,1.165,4.326,0.037,0.005,0.11172,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5
C01:IMRPhenomXPHM:LowSpin,20000,2.75891,3.23123,3.23967,3.27168,3.2782,3.31878,3.33747,5.45829,0.06892,3.561,0.9977,0.9971,0.0001,0.0023,0.0006,0.0007,True,True,-0.08252,-0.09406,-0.06376,0.28,0.34,False,31.56,1.165,4.328,0.0369,0.0054,0.1109,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5
C01:Mixed,40000,2.64585,3.22739,3.23985,3.28237,3.29175,3.34105,3.36046,5.55903,0.09185,3.561,0.9913,0.9909,0.0004,0.0087,0.0007,0.0014,True,True,-0.07947,-0.09515,-0.0572,0.28,0.34,False,31.043,1.167,4.305,0.0376,-0.00012,0.1176,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5
C01:SEOBNRv4PHM,20000,2.79476,3.22301,3.2419,3.29582,3.30522,3.35241,3.37189,5.50673,0.11348,3.561,0.9844,0.9842,0.0008,0.0156,0.001,0.0022,True,True,-0.07563,-0.0964,-0.05394,0.28,0.34,False,30.484,1.169,4.281,0.0383,-0.00516,0.12457,IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5
