catalog,cut_level,cut_desc,n_kept,n_removed,n_samples,gamma_data,pct_from_meissner,mn_at_gamma_data,mn_at_meissner,delta_meissner,ci_lo,ci_hi,meissner_in_ci
GWTC-3,0,No cuts (baseline),72,0,7125938,0.276105,16.2548,5.314000,5.205355,-0.108645,0.276001,0.276194,NO
GWTC-2.1,0,No cuts (baseline),106,0,11455601,0.247465,4.1958,5.314000,5.284351,-0.029649,0.247421,0.247508,NO
GWTC-4,0,No cuts (baseline),86,0,1320449,0.245261,3.2679,5.314000,5.290804,-0.023196,0.245159,0.245361,NO
GWTC-3,1,Remove std_n > 0.40,66,6,6796860,0.267822,12.7670,5.314000,5.227328,-0.086672,0.267740,0.267913,NO
GWTC-2.1,1,Remove std_n > 0.40,106,0,11455601,0.247465,4.1958,5.314000,5.284351,-0.029649,0.247421,0.247508,NO
GWTC-4,1,Remove std_n > 0.40,86,0,1320449,0.245261,3.2679,5.314000,5.290804,-0.023196,0.245159,0.245361,NO
GWTC-3,2,Remove std_n > 0.30,63,9,6272735,0.260936,9.8676,5.314000,5.246117,-0.067883,0.260853,0.261017,NO
GWTC-2.1,2,Remove std_n > 0.30,105,1,11444463,0.247431,4.1814,5.314000,5.284451,-0.029549,0.247388,0.247478,NO
GWTC-4,2,Remove std_n > 0.30,84,2,1289010,0.244055,2.7599,5.314000,5.294361,-0.019639,0.243950,0.244163,NO
GWTC-3,3,Remove std_n > 0.20,55,17,5867553,0.259342,9.1965,5.314000,5.250537,-0.063463,0.259259,0.259425,NO
GWTC-2.1,3,Remove std_n > 0.20,82,24,9641508,0.245607,3.4134,5.314000,5.289789,-0.024211,0.245562,0.245648,NO
GWTC-4,3,Remove std_n > 0.20,77,9,1156820,0.240895,1.4296,5.314000,5.303761,-0.010239,0.240791,0.240992,NO
GWTC-3,4,Remove std_n > 0.15,49,23,5256727,0.249567,5.0807,5.314000,5.278251,-0.035749,0.249498,0.249647,NO
GWTC-2.1,4,Remove std_n > 0.15,60,46,7374358,0.250372,5.4199,5.314000,5.275926,-0.038074,0.250319,0.250423,NO
GWTC-4,4,Remove std_n > 0.15,57,29,845784,0.237068,-0.1820,5.314000,5.315314,0.001314,0.236962,0.237166,NO
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,49,23,5572409,0.239485,0.8358,5.314000,5.307996,-0.006004,0.239451,0.239516,NO
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,82,24,9641508,0.245607,3.4134,5.314000,5.289789,-0.024211,0.245562,0.245648,NO
GWTC-4,5,Remove std_n > 0.20 AND NSBH outliers,77,9,1156820,0.240895,1.4296,5.314000,5.303761,-0.010239,0.240791,0.240992,NO
GWTC-3,6,Remove NR_FIT E_rad (keep real posteriors only),72,0,7125938,0.276105,16.2548,5.314000,5.205355,-0.108645,0.276001,0.276194,NO
GWTC-2.1,6,Remove NR_FIT E_rad (keep real posteriors only),106,0,11455601,0.247465,4.1958,5.314000,5.284351,-0.029649,0.247421,0.247508,NO
GWTC-4,6,Remove NR_FIT E_rad (keep real posteriors only),86,0,1320449,0.245261,3.2679,5.314000,5.290804,-0.023196,0.245159,0.245361,NO
GWTC-3,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),49,23,5572409,0.239485,0.8358,5.314000,5.307996,-0.006004,0.239451,0.239516,NO
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),82,24,9641508,0.245607,3.4134,5.314000,5.289789,-0.024211,0.245562,0.245648,NO
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),77,9,1156820,0.240895,1.4296,5.314000,5.303761,-0.010239,0.240791,0.240992,NO
