event,catalog,waveform,erad_strategy,per_sample_chi,M_total_Msun,chi_eff_med,chi_eff_std,redshift,lum_dist_Mpc,mass_ratio,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr,kerr_delta_n,n_BBH_theory,gap_schwarz,gap_kerr,alpha_inv,delta_schwarz,delta_kerr,log2_M
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,64.264,-0.0557,0.0836,0.0963,455.6162,0.8463,5.340209,0.046137,137.637871,137.697212,0.059341,5.313987,132.297662,132.357003,137.035999,-4.738337,-4.678997,6.005939
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,64.2184,-0.0547,0.0832,0.0978,463.0273,0.8454,5.340473,0.045957,137.636848,137.695577,0.05873,5.313987,132.296375,132.355104,137.035999,-4.739624,-4.680895,6.004916
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,38.844,0.111,0.1567,0.1937,974.095,0.538,5.283749,0.208789,136.911553,136.795298,-0.116255,5.313987,131.627804,131.511549,137.035999,-5.408195,-5.52445,5.279621
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,38.422,0.1178,0.1599,0.2083,1056.2635,0.5513,5.295259,0.203841,136.895793,136.774811,-0.120982,5.313987,131.600533,131.479551,137.035999,-5.435466,-5.556448,5.263861
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,21.6734,0.2015,0.0993,0.0973,460.4727,0.5276,5.334007,0.189791,136.069785,135.850086,-0.219698,5.313987,130.735778,130.51608,137.035999,-6.300221,-6.519919,4.437853
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,21.6612,0.2031,0.0994,0.0994,471.2247,0.5235,5.331756,0.18991,136.068974,135.846114,-0.222859,5.313987,130.737218,130.514358,137.035999,-6.298781,-6.521641,4.437042
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,49.9996,-0.0421,0.1053,0.2113,1073.2327,0.7085,5.309569,0.087598,137.275776,137.325388,0.049612,5.313987,131.966206,132.015818,137.035999,-5.069793,-5.020181,5.643844
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,49.6974,-0.0391,0.1035,0.2205,1126.1863,0.7076,5.310683,0.085239,137.267031,137.313569,0.046538,5.313987,131.956348,132.002886,137.035999,-5.079651,-5.033113,5.635099
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,18.6246,0.0434,0.0694,0.0707,328.8612,0.7136,5.351159,0.088127,135.851072,135.805175,-0.045897,5.313987,130.499914,130.454016,137.035999,-6.536086,-6.581983,4.219141
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,18.6091,0.0436,0.0698,0.0718,334.0213,0.7122,5.350863,0.088712,135.849865,135.801527,-0.048338,5.313987,130.499002,130.450664,137.035999,-6.536997,-6.585335,4.217933
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,83.5641,0.2572,0.1801,0.4267,2412.502,0.5514,5.393495,0.19962,138.016743,137.722731,-0.294012,5.313987,132.623248,132.329236,137.035999,-4.412751,-4.706763,6.384811
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,82.475,0.3064,0.1679,0.4943,2874.1125,0.5845,5.440181,0.178804,137.997817,137.638966,-0.358852,5.313987,132.557637,132.198785,137.035999,-4.478362,-4.837214,6.365885
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,58.4839,0.0795,0.1068,0.2147,1092.4979,0.7064,5.361404,0.087983,137.501899,137.410051,-0.091848,5.313987,132.140495,132.048647,137.035999,-4.895504,-4.987352,5.869967
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,58.3371,0.0833,0.1055,0.2189,1116.9455,0.7072,5.36345,0.086552,137.498273,137.404226,-0.094046,5.313987,132.134823,132.040776,137.035999,-4.901176,-4.995223,5.866341
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,55.6541,0.0606,0.074,0.1223,588.4313,0.8063,5.378698,0.046399,137.430347,137.3631,-0.067247,5.313987,132.051649,131.984402,137.035999,-4.98435,-5.051597,5.798415
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,55.5515,0.0613,0.0737,0.1245,599.8825,0.808,5.379305,0.046136,137.427685,137.35865,-0.069035,5.313987,132.04838,131.979345,137.035999,-4.987619,-5.056654,5.795753
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,62.4971,-0.0423,0.1213,0.222,1134.4514,0.7968,5.334126,0.066714,137.59765,137.643178,0.045529,5.313987,132.263524,132.309053,137.035999,-4.772475,-4.726946,5.965718
GW170818_022509,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,62.2874,-0.0347,0.12,0.2296,1178.4139,0.7984,5.33759,0.066023,137.5928,137.629236,0.036435,5.313987,132.25521,132.291645,137.035999,-4.78079,-4.744354,5.960868
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,66.9488,0.0531,0.1332,0.3575,1958.8475,0.7643,5.36397,0.1035,137.696918,137.64494,-0.051978,5.313987,132.332948,132.280971,137.035999,-4.703051,-4.755028,6.064986
GW170823_131358,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,66.2608,0.0651,0.1309,0.3817,2115.4534,0.7667,5.36973,0.09842,137.682016,137.611785,-0.070231,5.313987,132.312286,132.242056,137.035999,-4.723713,-4.793944,6.050084
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,107.1354,0.6786,0.1631,1.1374,7954.6993,0.2025,5.21412,0.343804,138.375223,137.333281,-1.041943,5.313987,133.161103,132.119161,137.035999,-3.874896,-4.916838,6.743291
GW190403_051519,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,98.5777,0.6959,0.1618,1.4295,10547.7819,0.2763,5.40014,0.292684,138.255122,137.187935,-1.067187,5.313987,132.854981,131.787795,137.035999,-4.181018,-5.248204,6.62319
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,43.496,-0.0301,0.0971,0.2858,1511.6722,0.7383,5.321596,0.074859,137.074744,137.11326,0.038517,5.313987,131.753148,131.791664,137.035999,-5.282851,-5.244335,5.442812
GW190408_181802,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,43.1812,-0.0291,0.0943,0.2961,1574.6829,0.735,5.321423,0.072635,137.064262,137.101217,0.036956,5.313987,131.742839,131.779795,137.035999,-5.29316,-5.256205,5.43233
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,38.4591,0.247,0.0608,0.1416,690.1104,0.2821,5.022211,0.078574,136.897184,136.607922,-0.289262,5.313987,131.874973,131.585711,137.035999,-5.161026,-5.450288,5.265252
GW190412_053044,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,38.4473,0.2479,0.0606,0.1434,699.5342,0.2812,5.020724,0.078802,136.896743,136.603611,-0.293132,5.313987,131.876019,131.582887,137.035999,-5.159981,-5.453112,5.264811
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,58.027,-0.0353,0.175,0.5579,3324.3621,0.7296,5.313018,0.115031,137.490584,137.53649,0.045906,5.313987,132.177566,132.223472,137.035999,-4.858433,-4.812527,5.858652
GW190413_052954,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,56.9955,-0.0035,0.1739,0.6146,3737.0392,0.7373,5.329395,0.111198,137.464708,137.46776,0.003051,5.313987,132.135313,132.138364,137.035999,-4.900686,-4.897635,5.832777
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,81.2511,-0.0085,0.1977,0.6226,3796.2844,0.5987,5.273783,0.203854,137.976248,137.990388,0.01414,5.313987,132.702466,132.716606,137.035999,-4.333534,-4.319393,6.344316
GW190413_134308,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,78.6772,0.0211,0.1877,0.7298,4607.0903,0.6543,5.311039,0.169699,137.929805,137.91587,-0.013935,5.313987,132.618767,132.604832,137.035999,-4.417232,-4.431168,6.297874
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,73.6101,-0.0959,0.1487,0.4527,2587.9613,0.7827,5.305285,0.102963,137.833764,137.943887,0.110123,5.313987,132.528479,132.638602,137.035999,-4.507521,-4.397397,6.201832
GW190421_213856,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,71.669,-0.0839,0.1464,0.5064,2958.4536,0.7823,5.310359,0.09766,137.79521,137.896936,0.101726,5.313987,132.484851,132.586577,137.035999,-4.551148,-4.449422,6.163278
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,182.3339,0.2261,0.2566,0.7259,4577.1825,0.7616,5.418206,0.183825,139.142371,138.837077,-0.305295,5.313987,133.724165,133.41887,137.035999,-3.311834,-3.617129,7.510439
GW190426_190642,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,172.1122,0.2975,0.25,0.8698,5714.2056,0.7383,5.449271,0.166979,139.059138,138.681602,-0.377536,5.313987,133.609867,133.232331,137.035999,-3.426132,-3.803668,7.427206
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,69.4292,-0.0575,0.1598,0.2841,1501.7608,0.6704,5.289253,0.140284,137.749402,137.819086,0.069684,5.313987,132.460149,132.529833,137.035999,-4.57585,-4.506166,6.11747
GW190503_185404,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,69.1812,-0.0425,0.1561,0.2996,1596.2606,0.6812,5.298355,0.13215,137.744241,137.798979,0.054738,5.313987,132.445886,132.500624,137.035999,-4.590113,-4.535375,6.112309
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,36.0873,0.0279,0.0901,0.2783,1466.1971,0.5125,5.235675,0.108878,136.805352,136.76935,-0.036002,5.313987,131.569677,131.533675,137.035999,-5.466322,-5.502324,5.17342
GW190512_180714,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,35.7398,0.0294,0.0896,0.2895,1534.3961,0.5143,5.237961,0.109162,136.791391,136.757896,-0.033495,5.313987,131.553429,131.519934,137.035999,-5.48257,-5.516065,5.159459
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,54.2525,0.1346,0.1425,0.3888,2162.0181,0.4755,5.265078,0.163938,137.393551,137.232446,-0.161105,5.313987,132.128473,131.967368,137.035999,-4.907526,-5.068631,5.761619
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,53.7894,0.1502,0.1458,0.4073,2283.2604,0.4852,5.282106,0.162296,137.381182,137.206491,-0.174692,5.313987,132.099076,131.924385,137.035999,-4.936923,-5.111615,5.74925
GW190514_065416,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,69.0248,-0.0911,0.1875,0.634,3881.0073,0.7175,5.282611,0.144919,137.740974,137.854683,0.113709,5.313987,132.458363,132.572072,137.035999,-4.577636,-4.463927,6.109042
GW190514_065416,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,65.5604,-0.0676,0.1851,0.7498,4761.9487,0.7386,5.299889,0.127574,137.666685,137.756048,0.089363,5.313987,132.366795,132.456159,137.035999,-4.669204,-4.57984,6.034753
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,64.4896,0.4417,0.154,0.3014,1607.3741,0.5656,5.522279,0.213,137.642927,137.063244,-0.579682,5.313987,132.120647,131.540965,137.035999,-4.915352,-5.495034,6.010995
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,62.6577,0.4732,0.1473,0.3513,1919.5894,0.5939,5.552532,0.196532,137.601351,136.971664,-0.629687,5.313987,132.048819,131.419131,137.035999,-4.98718,-5.616868,5.969419
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,103.1949,0.3153,0.1328,0.4529,2589.3807,0.6284,5.438564,0.126776,138.32116,137.94265,-0.37851,5.313987,132.882596,132.504086,137.035999,-4.153403,-4.531913,6.689228
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,100.1684,0.3366,0.1299,0.5204,3057.0433,0.6287,5.453231,0.124368,138.278215,137.874745,-0.40347,5.313987,132.824984,132.421514,137.035999,-4.211015,-4.614485,6.646283
