event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff,n_samples
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.34024,0.04614,1,-0.05572,147634
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.34051,0.04596,1,-0.05474,199766
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.28378,0.20879,1,0.11099,68167
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.29529,0.20384,1,0.11781,137933
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.33404,0.18979,1,0.20154,133885
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.33179,0.18991,1,0.20309,188541
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.3096,0.0876,1,-0.04215,80854
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.31072,0.08524,1,-0.03911,169007
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.35119,0.08813,1,0.04339,219080
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.3509,0.08871,1,0.0436,285112
6513631/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.39353,0.19962,1,0.2572,37428
6513631/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.44022,0.1788,1,0.30642,173308
6513631/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.36144,0.08798,1,0.07947,89622
6513631/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.36348,0.08655,1,0.08327,177783
6513631/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.37873,0.0464,1,0.06055,139163
6513631/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.37934,0.04614,1,0.06135,197034
6513631/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.33416,0.06671,1,-0.04234,84033
6513631/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.33763,0.06602,1,-0.03465,160046
6513631/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.364,0.1035,1,0.05306,42612
6513631/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.36976,0.09842,1,0.06507,136399
6513631/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.21415,0.3438,1,0.67861,11138
6513631/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.40018,0.29268,1,0.69593,178895
6513631/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.32163,0.07486,1,-0.03011,53971
6513631/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.32146,0.07264,1,-0.02912,127008
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.02225,0.07857,1,0.24698,182052
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.02076,0.0788,1,0.24789,264789
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.31305,0.11503,1,-0.0353,27757
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.32943,0.1112,1,-0.00355,144722
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.27382,0.20385,1,-0.00849,23815
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.31107,0.1697,1,0.02107,155335
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.30532,0.10296,1,-0.09595,30882
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.31039,0.09766,1,-0.08395,147856
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.41824,0.18383,1,0.22608,16736
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.44931,0.16698,1,0.29754,155608
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.28929,0.14028,1,-0.05748,63867
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.29839,0.13215,1,-0.04251,166116
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.23571,0.10888,1,0.02795,74777
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.238,0.10916,1,0.02944,181271
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.26511,0.16394,1,0.13455,48052
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.28214,0.1623,1,0.15022,180002
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.28265,0.14492,1,-0.09108,15629
