event,catalog,waveform,erad_strategy,median_n,std_n,n_samples,in_bbh_band,M_total_Msun,M_chirp_Msun,mass_ratio,chi_eff,redshift,lum_dist_Mpc,median_snr,snr_src,snr_available,median_theta_jn_rad,median_cos_theta_jn,incl_src
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.340209,0.046137,147634,1,64.264,27.7459,0.8463,-0.0557,0.0963,455.6162,26.0135,network_matched_filter_snr,1,2.6906,-0.9,theta_jn
GW150914_095045,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.340473,0.045957,199766,1,64.2184,27.7249,0.8454,-0.0547,0.0978,463.0273,26.0123,network_matched_filter_snr,1,2.6989,-0.9036,theta_jn
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.283749,0.208789,68167,1,38.844,15.6122,0.538,0.111,0.1937,974.095,9.2658,network_matched_filter_snr,1,1.7653,-0.1933,theta_jn
GW151012_095443,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.295259,0.203841,137933,1,38.422,15.5127,0.5513,0.1178,0.2083,1056.2635,9.2459,network_matched_filter_snr,1,1.7782,-0.2059,theta_jn
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.334007,0.189791,133885,1,21.6734,8.855,0.5276,0.2015,0.0973,460.4727,12.7354,network_matched_filter_snr,1,0.8826,0.6352,theta_jn
GW151226_033853,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.331756,0.18991,188541,1,21.6612,8.838,0.5235,0.2031,0.0994,471.2247,12.7331,network_matched_filter_snr,1,0.8674,0.6468,theta_jn
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.309569,0.087598,80854,1,49.9996,21.1554,0.7085,-0.0421,0.2113,1073.2327,13.8472,network_matched_filter_snr,1,0.9505,0.5813,theta_jn
GW170104_101158,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.310683,0.085239,169007,1,49.6974,21.0331,0.7076,-0.0391,0.2205,1126.1863,13.8433,network_matched_filter_snr,1,0.9309,0.5971,theta_jn
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.351159,0.088127,219080,1,18.6246,7.9352,0.7136,0.0434,0.0707,328.8612,15.3399,network_matched_filter_snr,1,2.424,-0.7534,theta_jn
GW170608_020116,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.350863,0.088712,285112,1,18.6091,7.9275,0.7122,0.0436,0.0718,334.0213,15.3373,network_matched_filter_snr,1,2.4295,-0.757,theta_jn
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.393495,0.19962,37428,1,83.5641,34.1478,0.5514,0.2572,0.4267,2412.502,10.6632,network_matched_filter_snr,1,1.2118,0.3513,theta_jn
GW170729_185629,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.440181,0.178804,173308,1,82.475,34.0286,0.5845,0.3064,0.4943,2874.1125,10.6372,network_matched_filter_snr,1,1.0557,0.4926,theta_jn
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.361404,0.087983,89622,1,58.4839,24.7294,0.7064,0.0795,0.2147,1092.4979,12.7902,network_matched_filter_snr,1,2.6227,-0.8684,theta_jn
GW170809_082821,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.36345,0.086552,177783,1,58.3371,24.6816,0.7072,0.0833,0.2189,1116.9455,12.7918,network_matched_filter_snr,1,2.6488,-0.881,theta_jn
GW170814_103043,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.378698,0.046399,139163,1,55.6541,23.9165,0.8063,0.0606,0.1223,588.4313,17.7036,network_matched_filter_snr,1,0.694,0.7687,theta_jn
