event_file,catalog,event_type,waveform_key,n_samples,median_n,mean_n,std_n,p5_n,p95_n,ci90_width,cv_pct,dev_from_pred,in_bbh_band,sub_floor,median_chi_eff,median_q
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,147634,5.34024,5.33281,0.04614,5.24704,5.39236,0.14532,0.8651,0.02624,1,0,-0.05572,0.8463
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,199766,5.34051,5.3331,0.04596,5.24744,5.39254,0.1451,0.8617,0.02651,1,0,-0.05474,0.84545
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,68167,5.28378,5.231,0.20879,4.81611,5.4746,0.65849,3.9914,0.03022,1,0,0.11099,0.53797
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,137933,5.29529,5.24436,0.20384,4.83629,5.4832,0.64691,3.8869,0.01871,1,0,0.11781,0.55133
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,133885,5.33404,5.26747,0.18979,4.86909,5.43948,0.57039,3.6031,0.02004,1,0,0.20154,0.52761
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,188541,5.33179,5.26595,0.18991,4.86932,5.43944,0.57011,3.6064,0.01779,1,0,0.20309,0.52353
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,80854,5.3096,5.29264,0.0876,5.13655,5.39792,0.26136,1.6551,0.0044,1,0,-0.04215,0.7085
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,169007,5.31072,5.29459,0.08524,5.14132,5.39859,0.25727,1.6099,0.00328,1,0,-0.03911,0.70758
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,219080,5.35119,5.31916,0.08813,5.14395,5.38768,0.24373,1.6568,0.03719,1,0,0.04339,0.71358
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,285112,5.3509,5.31858,0.08871,5.14189,5.38761,0.24572,1.668,0.0369,1,0,0.0436,0.71221
