event,catalog,M_total_Msun,M_chirp_Msun,chi_eff,redshift,f_isco_hz,n_carrier,n_BBH,gap_raw,log2_M_over_1692,log2_M_over_30,gap_corr_1692,gap_corr_30,alpha_inv,delta_raw,delta_corr_1692,delta_corr_30
GW150914_095045,GWTC-2.1,64.264,27.746,-0.0557,0.0963,68.4215,137.637871,5.313987,132.323884,-4.718575,1.099049,137.042459,131.224835,137.04262,-4.718736,-0.000162,-5.817785
GW150914_095045,GWTC-2.1,64.218,27.725,-0.0547,0.0978,68.4701,137.636848,5.313987,132.322861,-4.719598,1.098025,137.042459,131.224835,137.04262,-4.71976,-0.000162,-5.817785
GW151012_095443,GWTC-2.1,38.844,15.612,0.111,0.1937,113.1974,136.911553,5.313987,131.597565,-5.444893,0.37273,137.042459,131.224835,137.04262,-5.445055,-0.000162,-5.817785
GW151012_095443,GWTC-2.1,38.422,15.513,0.1178,0.2083,114.4407,136.895793,5.313987,131.581806,-5.460653,0.35697,137.042459,131.224835,137.04262,-5.460815,-0.000162,-5.817785
GW151226_033853,GWTC-2.1,21.673,8.855,0.2015,0.0973,202.8774,136.069785,5.313987,130.755798,-6.286661,-0.469038,137.042459,131.224835,137.04262,-6.286823,-0.000162,-5.817785
GW151226_033853,GWTC-2.1,21.661,8.838,0.2031,0.0994,202.9915,136.068974,5.313987,130.754987,-6.287472,-0.469849,137.042459,131.224835,137.04262,-6.287634,-0.000162,-5.817785
GW170104_101158,GWTC-2.1,50.0,21.155,-0.0421,0.2113,87.9416,137.275776,5.313987,131.961788,-5.08067,0.736953,137.042459,131.224835,137.04262,-5.080832,-0.000162,-5.817785
GW170104_101158,GWTC-2.1,49.697,21.033,-0.0391,0.2205,88.4762,137.267031,5.313987,131.953044,-5.089414,0.728209,137.042459,131.224835,137.04262,-5.089576,-0.000162,-5.817785
GW170608_020116,GWTC-2.1,18.625,7.935,0.0434,0.0707,236.0874,135.851072,5.313987,130.537085,-6.505373,-0.68775,137.042459,131.224835,137.04262,-6.505535,-0.000162,-5.817785
GW170608_020116,GWTC-2.1,18.609,7.927,0.0436,0.0718,236.285,135.849865,5.313987,130.535878,-6.506581,-0.688957,137.042459,131.224835,137.04262,-6.506742,-0.000162,-5.817785
GW170729_185629,GWTC-2.1,83.564,34.148,0.2572,0.4267,52.6188,138.016743,5.313987,132.702756,-4.339703,1.477921,137.042459,131.224835,137.04262,-4.339864,-0.000162,-5.817785
GW170729_185629,GWTC-2.1,82.475,34.029,0.3064,0.4943,53.3136,137.997817,5.313987,132.68383,-4.358628,1.458995,137.042459,131.224835,137.04262,-4.35879,-0.000162,-5.817785
GW170809_082821,GWTC-2.1,58.484,24.729,0.0795,0.2147,75.1838,137.501899,5.313987,132.187912,-4.854547,0.963077,137.042459,131.224835,137.04262,-4.854708,-0.000162,-5.817785
