event_file,n_Robertson,n_Heisenberg,delta_n
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,5.34024,4.34024,1.0
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,5.34051,4.34051,1.0
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,5.28378,4.28378,1.0
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,5.29529,4.29529,1.0
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,5.33404,4.33404,1.0
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,5.33179,4.33179,1.0
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,5.3096,4.3096,1.0
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,5.31072,4.31072,1.0
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,5.35119,4.35119,1.0
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,5.3509,4.3509,1.0
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,5.39353,4.39353,1.0
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,5.44022,4.44022,1.0
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,5.36144,4.36144,1.0
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,5.36348,4.36348,1.0
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,5.37873,4.37873,1.0
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,5.37934,4.37934,1.0
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,5.33416,4.33416,1.0
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,5.33763,4.33763,1.0
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,5.364,4.364,1.0
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,5.36976,4.36976,1.0
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,5.21415,4.21415,1.0
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,5.40018,4.40018,1.0
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,5.32163,4.32163,1.0
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,5.32146,4.32146,1.0
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,5.02225,4.02225,1.0
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,5.02076,4.02076,1.0
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,5.31305,4.31305,1.0
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,5.32943,4.32943,1.0
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,5.27382,4.27382,1.0
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,5.31107,4.31107,1.0
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,5.30532,4.30532,1.0
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,5.31039,4.31039,1.0
