event_file,catalog,waveform_key,median_n,in_bbh_band,n_samples,e_chi2_eff,med_chi_eff,e_chi2_final,med_chi_final,e_chi_orb2_direct,e_chi_orb2_healy,chi_orb_healy,e_a1_sq,e_a2_sq,e_kerr_ratio_eff,e_kerr_ratio_final,med_eta,med_q,med_chirp_mass,med_chip,gb_event_pop_beta
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34051,1,199766,0.010817,-0.05474,0.467205,0.6827,0.456388,0.472777,0.68759,0.282492,0.258001,1.99453,1.72932,0.24825,0.84545,27.725,0.51048,0.92363
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29529,1,137933,0.042728,0.11781,0.489495,0.69369,0.446766,0.411393,0.6414,0.249121,0.29675,1.97775,1.71007,0.22909,0.55133,15.513,0.35923,0.98746
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33179,1,188541,0.062672,0.20309,0.590768,0.75345,0.528096,0.400482,0.63284,0.416299,0.292802,1.9676,1.63628,0.22555,0.52353,8.838,0.522,1.02734
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31072,1,169007,0.012855,-0.03911,0.445784,0.6692,0.432929,0.454491,0.67416,0.223678,0.261239,1.99347,1.74332,0.24267,0.70758,21.033,0.41119,0.92771
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.3509,1,285112,0.008835,0.0436,0.488128,0.69554,0.479293,0.455365,0.67481,0.19527,0.227572,1.99552,1.71499,0.24294,0.71221,7.927,0.36138,0.91967
6513631/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.44022,1,173308,0.108822,0.30642,0.604562,0.79724,0.49574,0.422994,0.65038,0.439227,0.320617,1.94281,1.62113,0.23281,0.58447,34.029,0.42656,1.11964
6513631/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36348,1,177783,0.01805,0.08327,0.513843,0.71562,0.495793,0.454421,0.67411,0.275733,0.277046,1.99086,1.69542,0.24265,0.70721,24.682,0.45167,0.9381
6513631/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.37934,1,197034,0.009331,0.06135,0.508594,0.70946,0.499263,0.469251,0.68502,0.208451,0.267158,1.9953,1.70007,0.24718,0.80795,23.875,0.40284,0.92066
6513631/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33763,1,160046,0.016159,-0.03465,0.485717,0.69529,0.469558,0.46819,0.68424,0.360838,0.341828,1.99179,1.71551,0.24686,0.79837,26.716,0.58979,0.93432
6513631/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36976,1,136399,0.020924,0.06507,0.515321,0.71803,0.494397,0.464186,0.68131,0.327327,0.300712,1.98937,1.69389,0.24564,0.76667,28.222,0.51768,0.94385
