event_file,catalog,waveform_key,median_n,std_n,in_bbh_band,median_q,mean_q,std_q,q_bin,median_chi_eff,e_chi2,beta_posterior,n_samples
6513631/IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34051,0.04596,1,0.84545,0.83022,0.11315,0.8-1.0,-0.05474,0.010817,0.97837,199766
6513631/IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29529,0.20384,1,0.55133,0.56246,0.22194,0.4-0.6,0.11781,0.042728,0.91454,137933
6513631/IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33179,0.18991,1,0.52353,0.53995,0.23208,0.4-0.6,0.20309,0.062672,0.87466,188541
6513631/IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31072,0.08524,1,0.70758,0.71039,0.15848,0.6-0.8,-0.03911,0.012855,0.97429,169007
6513631/IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.3509,0.08871,1,0.71221,0.69567,0.18966,0.6-0.8,0.0436,0.008835,0.98233,285112
6513631/IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.44022,0.1788,1,0.58447,0.60628,0.17705,0.4-0.6,0.30642,0.108822,0.78236,173308
6513631/IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36348,0.08655,1,0.70721,0.70878,0.16309,0.6-0.8,0.08327,0.01805,0.9639,177783
6513631/IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.37934,0.04614,1,0.80795,0.7988,0.12379,0.8-1.0,0.06135,0.009331,0.98134,197034
6513631/IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33763,0.06602,1,0.79837,0.78676,0.13317,0.6-0.8,-0.03465,0.016159,0.96768,160046
6513631/IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36976,0.09842,1,0.76667,0.74955,0.16038,0.6-0.8,0.06507,0.020924,0.95815,136399
6513631/IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40018,0.29268,1,0.27631,0.35676,0.22173,0.2-0.4,0.69593,0.467162,0.06568,178895
6513631/IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32146,0.07264,1,0.73497,0.73269,0.1528,0.6-0.8,-0.02912,0.010262,0.97948,127008
6513631/IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.02076,0.0788,1,0.28123,0.28502,0.04815,0.2-0.4,0.24789,0.065333,0.86933,264789
6513631/IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32943,0.1112,1,0.73725,0.72658,0.16682,0.6-0.8,-0.00355,0.030345,0.93931,144722
6513631/IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31107,0.1697,1,0.65431,0.65254,0.19743,0.6-0.8,0.02107,0.035307,0.92939,155335
6513631/IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31039,0.09766,1,0.78228,0.76064,0.15895,0.6-0.8,-0.08395,0.0307,0.9386,147856
6513631/IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.44931,0.16698,1,0.7383,0.6988,0.2105,0.6-0.8,0.29754,0.146959,0.70608,155608
6513631/IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29839,0.13215,1,0.68117,0.67988,0.1781,0.6-0.8,-0.04251,0.027768,0.94446,166116
6513631/IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.238,0.10916,1,0.5143,0.55023,0.16974,0.4-0.6,0.02944,0.008914,0.98217,181271
6513631/IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.28214,0.1623,1,0.48519,0.53747,0.19353,0.4-0.6,0.15022,0.046268,0.90746,180002
6513631/IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.29992,0.12757,1,0.73862,0.72125,0.17737,0.6-0.8,-0.06762,0.040365,0.91927,123633
6513631/IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.55257,0.19653,1,0.59388,0.60101,0.18428,0.4-0.6,0.47323,0.231549,0.5369,161299
6513631/IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.45327,0.12437,1,0.62873,0.63601,0.15222,0.6-0.8,0.33665,0.124647,0.75071,150207
6513631/IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.306,0.21986,1,0.64994,0.65632,0.182,0.6-0.8,0.00147,0.074626,0.85075,148527
6513631/IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.3748,0.05056,1,0.75974,0.7612,0.11305,0.6-0.8,0.07258,0.010491,0.97902,210737
6513631/IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34275,0.23314,1,0.6201,0.61465,0.2203,0.6-0.8,0.12064,0.049587,0.90083,141653
6513631/IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36732,0.16595,1,0.65477,0.6501,0.19566,0.6-0.8,0.15214,0.046621,0.90676,155451
6513631/IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.43967,0.21496,1,0.5781,0.5918,0.2048,0.4-0.6,0.33267,0.124806,0.75039,152410
6513631/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36557,0.08254,1,0.70698,0.70802,0.16228,0.6-0.8,0.09412,0.016694,0.96661,171387
6513631/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.30224,0.10102,1,0.762,0.74546,0.161,0.6-0.8,-0.08496,0.03498,0.93004,160160
6513631/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40953,0.19251,1,0.54102,0.55666,0.17568,0.4-0.6,0.322,0.123149,0.7537,159868
6513631/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31066,0.06179,1,0.7239,0.72232,0.1561,0.6-0.8,-0.06341,0.006969,0.98606,367463
6513631/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34133,0.06695,1,0.72793,0.71638,0.17218,0.6-0.8,0.01964,0.00467,0.99066,94772
6513631/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.39785,0.25831,1,0.56183,0.57003,0.23049,0.4-0.6,0.30411,0.135769,0.72846,153538
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32849,0.1271,1,0.553,0.57452,0.20752,0.4-0.6,0.17495,0.042276,0.91545,131644
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.22206,0.22348,1,0.52924,0.55015,0.23334,0.4-0.6,-0.03561,0.02879,0.94242,170198
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.38788,0.10183,1,0.78823,0.7673,0.15537,0.6-0.8,0.09895,0.031165,0.93767,162922
6513631/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34415,0.17611,1,0.60462,0.59876,0.22628,0.6-0.8,0.13951,0.043949,0.9121,20000
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36527,0.12301,1,0.72917,0.71625,0.17399,0.6-0.8,0.07869,0.028646,0.94271,126255
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34082,0.10503,1,0.7581,0.74291,0.16224,0.6-0.8,0.00276,0.022124,0.95575,101656
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.52385,0.15301,1,0.69155,0.68332,0.18619,0.6-0.8,0.42437,0.200611,0.59878,169040
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.18876,0.04005,0,0.11118,0.1116,0.00934,0.0-0.2,0.0038,0.00269,0.99462,89500
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.42545,0.06034,1,0.8197,0.80534,0.127,0.8-1.0,0.16038,0.033864,0.93227,128000
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.17838,0.12783,1,0.44192,0.47872,0.16339,0.4-0.6,0.05534,0.013618,0.97276,181548
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.35009,0.06816,1,0.78684,0.77998,0.13209,0.6-0.8,-0.00538,0.012072,0.97586,159609
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33251,0.08149,1,0.7714,0.75969,0.14864,0.6-0.8,-0.0297,0.016589,0.96682,144305
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40277,0.22256,1,0.59361,0.60143,0.21572,0.4-0.6,0.27255,0.109443,0.78111,107199
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.66025,0.21288,0,0.21014,0.25444,0.12912,0.2-0.4,-0.07453,0.053231,0.89354,20000
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.24254,0.16867,1,0.50895,0.52403,0.19847,0.4-0.6,0.04632,0.019593,0.96081,46372
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36467,0.09148,1,0.74145,0.72399,0.17743,0.6-0.8,0.08292,0.01882,0.96236,164960
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.26148,0.19774,1,0.57984,0.59203,0.21128,0.4-0.6,-0.00762,0.032551,0.9349,157760
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.14432,0.2187,1,0.43781,0.46502,0.17493,0.4-0.6,-0.02032,0.024737,0.95053,153782
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34801,0.17477,1,0.62485,0.60863,0.23197,0.6-0.8,0.14869,0.048,0.904,137344
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39454,0.13019,1,0.64542,0.63549,0.21468,0.6-0.8,0.21747,0.061875,0.87625,167837
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3138,0.08988,1,0.69057,0.68303,0.18572,0.6-0.8,-0.01765,0.006971,0.98606,142741
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.22473,0.13003,1,0.73801,0.73825,0.14196,0.6-0.8,-0.29381,0.136135,0.72773,270070
