event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34024,0.04614,0.0963,455.616,-0.05572,147634,1
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.34051,0.04596,0.09777,463.027,-0.05474,199766,1
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.28378,0.20879,0.19371,974.095,0.11099,68167,1
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.29529,0.20384,0.20829,1056.264,0.11781,137933,1
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.33404,0.18979,0.09726,460.473,0.20154,133885,1
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.33179,0.18991,0.09939,471.225,0.20309,188541,1
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.3096,0.0876,0.21127,1073.233,-0.04215,80854,1
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.31072,0.08524,0.22053,1126.186,-0.03911,169007,1
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.35119,0.08813,0.07073,328.861,0.04339,219080,1
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.3509,0.08871,0.07179,334.021,0.0436,285112,1
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.39353,0.19962,0.42669,2412.502,0.2572,37428,1
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.44022,0.1788,0.49428,2874.112,0.30642,173308,1
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.36144,0.08798,0.21465,1092.498,0.07947,89622,1
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.36348,0.08655,0.21892,1116.946,0.08327,177783,1
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.37873,0.0464,0.12226,588.431,0.06055,139163,1
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.37934,0.04614,0.12447,599.882,0.06135,197034,1
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.33416,0.06671,0.22197,1134.451,-0.04234,84033,1
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.33763,0.06602,0.22959,1178.414,-0.03465,160046,1
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.364,0.1035,0.35745,1958.848,0.05306,42612,1
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.36976,0.09842,0.38171,2115.453,0.06507,136399,1
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.21415,0.3438,1.13738,7954.699,0.67861,11138,1
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.40018,0.29268,1.42949,10547.782,0.69593,178895,1
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.32163,0.07486,0.28578,1511.672,-0.03011,53971,1
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.32146,0.07264,0.29612,1574.683,-0.02912,127008,1
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.02225,0.07857,0.14163,690.11,0.24698,182052,1
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.02076,0.0788,0.14341,699.534,0.24789,264789,1
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.31305,0.11503,0.55791,3324.362,-0.0353,27757,1
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.32943,0.1112,0.61458,3737.039,-0.00355,144722,1
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.27382,0.20385,0.6226,3796.284,-0.00849,23815,1
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.31107,0.1697,0.72977,4607.09,0.02107,155335,1
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.30532,0.10296,0.45269,2587.961,-0.09595,30882,1
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.31039,0.09766,0.50636,2958.454,-0.08395,147856,1
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.41824,0.18383,0.7259,4577.183,0.22608,16736,1
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.44931,0.16698,0.86979,5714.206,0.29754,155608,1
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.28929,0.14028,0.28415,1501.761,-0.05748,63867,1
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.29839,0.13215,0.29964,1596.261,-0.04251,166116,1
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.23571,0.10888,0.27827,1466.197,0.02795,74777,1
